"adap-org/9911003","Liane Gabora","L. Gabora","Amplifying Phenomenal Information: Toward a Fundamental Theory of
  Consciousness","26 pages, 12 figures","Journal of Consciousness Studies 9(8):3-29 (2002)",,,"adap-org nlin.AO",,"  Fundamental approaches bypass the problem of getting consciousness from
non-conscious components by positing that consciousness is a universal
primitive. For example, the double aspect theory of information holds that
information has a phenomenal aspect. How then do you get from phenomenal
information to human consciousness? This paper proposes that an entity is
conscious to the extent it amplifies information, first by trapping and
integrating it through closure, and second by maintaining dynamics at the edge
of chaos through simultaneous processes of divergence and convergence. The
origin of life through autocatalytic closure, and the origin of an
interconnected worldview through conceptual closure, induced phase transitions
in the degree to which information, and thus consciousness, is locally
amplified. Divergence and convergence of cognitive information may involve
phenomena observed in light e.g. focusing, interference, and resonance. By
making information flow inward-biased, closure shields us from external
consciousness; thus the paucity of consciousness may be an illusion.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:59:19 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 12:47:05 GMT""}]","2007-05-23"
"hep-th/9911059","Arno Bohm","A. Bohm, H. Kaldass, S. Wickramasekara and P. Kielanowski","Semigroup Representations of the Poincare Group and Relativistic Gamow
  Vectors","8 pages, revtex","Phys.Lett.A264:425-433,2000","10.1016/S0375-9601(99)00829-4",,"hep-th math-ph math.MP quant-ph",,"  Gamow vectors are generalized eigenvectors (kets) of self-adjoint
Hamiltonians with complex eigenvalues $(E_{R}\mp i\Gamma/2)$ describing
quasistable states. In the relativistic domain this leads to Poincar\'e
semigroup representations which are characterized by spin $j$ and by complex
invariant mass square
${\mathsf{s}}={\mathsf{s}}_{R}=(M_{R}-\frac{i}{2}\Gamma_{R})^{2}$. Relativistic
Gamow kets have all the properties required to describe relativistic resonances
and quasistable particles with resonance mass $M_{R}$ and lifetime
$\hbar/\Gamma_{R}$.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 21:53:47 GMT""}]","2011-08-17"
"hep-th/9911060","Andrew DeBenedictis","A. DeBenedictis, K. S. Viswanathan","Stress-Energy Tensors for Higher Dimensional Gravity","12 pages. Uses AMS package. No figures",,,,"hep-th gr-qc",,"  We calculate, in the context of higher dimensional gravity, the stress-energy
tensor and Weyl anomaly associated with anti-de Sitter and anti-de Sitter black
hole solutions. The boundary counter-term method is used to regularize the
action and the resulting stress-energy tensor yields both the correct black
hole energies as well as a vacuum energy contribution which is interpreted as a
Casimir energy. This calculation is done up to d = 8 (d being the boundary
dimension). We confirm some results for d < 8 as well as comment on some new
results (some of which are relevant to (2,0) theory). All results for d=8 are
new.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:12:13 GMT""}]","2007-05-23"
"hep-th/9911061","V. P. Nair","V.P. Nair","Gauge-invariant variables, WZW models and (2+1)-dimensional Yang-Mills
  theory","LaTeX file, 11 pages",,,"IASSNS-99/105, RU99-13-B","hep-th",,"  Recent progress in understanding (2+1)-dimensional Yang-Mills (YM_{2+1})
theory via the use of gauge-invariant variables is reviewed. Among other
things, we discuss the vacuum wavefunction, an analytic calculation of the
string tension and the propagator mass for gluons and its relation to the
magnetic mass for YM_{3+1} at nonzero temperature.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 00:33:06 GMT""}]","2007-05-23"
"hep-th/9911062","Makoto Natsuume","Makoto Natsuume (KEK) and Takashi Okamura (Ochanomizu University)","Entropy for Asymptotically AdS_3 Black Holes","21 pages, LaTeX; v2: added discussion for section 3.3","Phys.Rev. D62 (2000) 064027","10.1103/PhysRevD.62.064027","KEK-TH-658, OCHA-PP-145","hep-th gr-qc",,"  We propose that Strominger's method to derive the BTZ black hole entropy is
in fact applicable to other asymptotically AdS_3 black holes and gives the
correct functional form of entropies. We discuss various solutions in the
Einstein-Maxwell theory, dilaton gravity, Einstein-scalar theories, and
Einstein-Maxwell-dilaton theory. In some cases, solutions approach AdS_3
asymptotically, but their entropies do not have the form of Cardy's formula.
However, it turns out that they are actually not ""asymptotically $AdS_3$""
solutions. On the other hand, for truly asymptotically AdS_3 solutions, their
entropies have the form of Cardy's formula. In this sense, all known solutions
are consistent with our proposal.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 00:35:32 GMT""},{""version"":""v2"",""created"":""Fri, 3 Mar 2000 09:52:00 GMT""}]","2009-10-31"
"hep-th/9911063","Gudrun Pinter","G. Pinter","The Action Principle in Epstein Glaser Renormalization and
  Renormalization of the S-Matrix in $\phi^4$-Theory","32 pages, added reference, corrected typos and changed content","Annalen Phys. 10 (2001) 333-363","10.1002/1521-3889(200104)10:4<333::AID-ANDP333>3.0.CO;2-Q","DESY 99-168","hep-th",,"  A formula describing finite renormalizations is derived in the Epstein-Glaser
formalism and an explicit calculation of finite counterterms in $\Phi
^4$-theory is performed. The Zimmermann identities and the action principle for
changes of parameters in the interaction are presented independent of the
adiabatic limit.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 09:24:37 GMT""},{""version"":""v2"",""created"":""Thu, 30 Mar 2000 12:35:39 GMT""},{""version"":""v3"",""created"":""Wed, 1 Nov 2000 13:36:33 GMT""}]","2017-09-27"
"hep-th/9911064","Ian Jack","I. Jack and S. Parsons","O(d,d) invariance at two and three loops","21 pages. Plain Tex. Uses Harvmac (""b"" option). Revised Version with
  references added and minor errors corrected","Phys.Rev. D62 (2000) 026003","10.1103/PhysRevD.62.026003","LTH 467","hep-th",,"  We show that in a two-dimensional sigma-model whose fields only depend on one
target space co-ordinate, the O(d,d) invariance of the conformal invariance
conditions observed at one loop is preserved at two loops (in the general case
with torsion) and at three loops (in the case without torsion).
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 12:15:20 GMT""},{""version"":""v2"",""created"":""Wed, 19 Jan 2000 15:03:28 GMT""}]","2009-10-31"
"hep-th/9911065","Prasanta K. Tripathy","Prasanta K. Tripathy and Fidel A. Schaposnik","Monopoles in non-Abelian Einstein-Born-Infeld Theory","10 pages, 3 figures","Phys.Lett. B472 (2000) 89-93","10.1016/S0370-2693(99)01417-3","La Plata-Th 99/11, IP-BBSR 99/32","hep-th gr-qc",,"  We study static spherically symmetric monopole solutions in non-Abelian
Einstein-Born-Infeld-Higgs model with normal trace structure. These monopoles
are similar to the corresponding solution with symmetrised trace structure and
are existing only up to some critical value of the strength of the
gravitational interaction. In addition, similar to their flat space
counterpart, they also admit a critical value of the Born-Infeld parameter
$\b$.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 14:05:40 GMT""}]","2009-10-31"
"math-ph/9911012","Andrei Bytsko","Andrei G. Bytsko","Two-term dilogarithm identities related to conformal field theory","LaTex, 12 pages","Lett.Math.Phys. 50 (1999) 213-228",,,"math-ph hep-th math.MP math.NT",,"  We study 2x2 matrices A such that the corresponding TBA equations yield c[A]
in the form of the effective central charge of a minimal Virasoro model.
Certain properties of such matrices and the corresponding solutions of the TBA
equations are established. Several continuous families and a discrete set of
admissible matrices A are found. The corresponding two-term dilogarithm
identities (some of which appear to be new) are obtained. Most of them are
proven or shown to be equivalent to previously known identities.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 20:54:03 GMT""},{""version"":""v2"",""created"":""Wed, 10 Nov 1999 17:03:48 GMT""}]","2007-05-23"
"math-ph/9911013","Roger T. Lewis","A.A. Balinsky, W.D. Evans, and Roger T. Lewis","Semi-classical asymptotics for the counting functions and Riesz means of
  Pauli and Dirac operators with large magnetic fields",,,,,"math-ph math.MP math.SP",,"  We study the asymptotic behavior, as Planck's constant $\hbar\to 0$, of the
number of discrete eigenvalues and the Riesz means of Pauli and Dirac operators
with a magnetic field $\mu\mathbf{B}(x)$ and an electric field. The magnetic
field strength $\mu$ is allowed to tend to infinity as $\hbar\to 0$. Two main
types of results are established: in the first $\mu\hbar\le constant$ as
$\hbar\to 0$, with magnetic fields of arbitrary direction; the second results
are uniform with respect to $\mu\ge 0$ but the magnetic fields have constant
direction. The results on the Pauli operator complement recent work of Sobolev.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 21:28:37 GMT""}]","2007-05-23"
"math/9911053","Elmar Schrohe","Elmar Schrohe","Noncommutative Residues, Dixmier's Trace, and Heat Trace Expansions on
  Manifolds with Boundary","26 pages","In: B. Booss-Bavnbek and K. Wojciechowski (eds), Geometric Aspects
  of Partial Differential Equations. Contemporary Mathematics, volume 242,
  Amer. Math. Soc. Providence, R.I., 1999, pp. 161 -- 186",,,"math.AP math.FA",,"  For manifolds with boundary, we define an extension of Wodzicki's
noncommutative residue to boundary value problems in Boutet de Monvel's
calculus. We show that this residue can be recovered with the help of heat
kernel expansions and explore its relation to Dixmier's trace.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:07:03 GMT""}]","2007-05-23"
"math/9911054","Vladimir S. Matveev","Vladimir S. Matveev and Petar J. Topalov","Dynamical and Topological methods in Theory of Geodesically Equivalent
  Metrics","12 pages, LaTeX","Zap. Nauchn. Sem. S.-Peterburg. Otdel. Mat. Inst. Steklov. (POMI)
  266 (2000), Teor. Predst. Din. Sist. Komb. i Algoritm. Metody. 5, 155--168,
  338",,,"math.DG math.SG math.SP nlin.SI solv-int",,"  This paper is a review on recently found connection between geodesically
equivalent metrics and integrable geodesic flows.
  Suppose two different metrics on one manifold have the same geodesics. We
show that then the geodesic flows of these metrics admit sufficiently many
integrals (of a special form) in involution and vice versa. The quantum version
of this result is also true. As a corollary we have that the topology of the
manifold (with two different metrics with the same geodesics) must be
sufficiently simple. Also we have that the non-proportionality of the metrics
at a point induces the non-proportionality of the metrics at almost all points.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:21:44 GMT""}]","2011-08-08"
"math/9911055","Savin Anton Yurievich","A.Yu. Savin (Moscow State University), B.Yu. Sternin (Moscow State
  University), B.-W. Schulze (Potsdam University)","The homotopy classification and the index of boundary value problems for
  general elliptic operators","27 pages, 1 figure","short version appeared in ""Partial differential equations and
  spectral theory"" (Clausthal, 2000), 299--305, Oper. Theory Adv. Appl., 126,
  Birkh\""auser, Basel, 2001",,,"math.AP math.KT math.OA",,"  We give the homotopy classification and compute the index of boundary value
problems for elliptic equations. The classical case of operators that satisfy
the Atiyah-Bott condition is studied first. We also consider the general case
of boundary value problems for operators that do not necessarily satisfy the
Atiyah-Bott condition.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 21:28:51 GMT""}]","2007-05-23"
"math/9911056","Jim Bryan","Jim Bryan, Sheldon Katz, Naichung Conan Leung","Multiple covers and the integrality conjecture for rational curves in
  Calabi-Yau threefolds","uses diagrams.sty",,,,"math.AG math.DG math.SG",,"  We study the contribution of multiple covers of an irreducible rational curve
C in a Calabi-Yau threefold Y to the genus 0 Gromov-Witten invariants in the
following cases.
  (1) If the curve C has one node and satisfies a certain genericity condition,
we prove that the contribution of multiple covers of degree d is given by the
sum of all 1/n^3 where n divides d.
  (2) For a smoothly embedded contractable curve C in Y we define schemes C_i
for i=1,...,l where C_i is supported on C and has multiplicity i, and the
integer l (0<l<7) is Kollar's invariant ``length''. We prove that the
contribution of multiple covers of C of degree d is given by the sum of
k_{d/n}/n^3 where n divides d and where k_i is the multiplicity of C_i in its
Hilbert scheme (and k_i=0 if i>l).
  In the latter case we also get a formula for arbitrary genus.
  These results show that the curve C contributes an integer amount to the
so-called instanton numbers that are defined recursively in terms of the
Gromov-Witten invariants and are conjectured to be integers.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:19:44 GMT""}]","2007-05-23"
"math/9911058","Yao-Zhong Zhang","Yao-Zhong Zhang and Mark D. Gould","$U_q[\hat{sl(2|1)}]$ Vertex Operators, Screen Currents and Correlation
  Functions at Arbitrary Level","Latex file 18 pages","J.Math.Phys. 41 (2000) 5277-5291","10.1063/1.533409",,"math.QA math-ph math.MP math.RT",,"  Bosonized q-vertex operators related to the 4-dimensional evaluation modules
of the quantum affine superalgebra $U_q[\hat{sl(2|1)}]$ are constructed for
arbitrary level $k=\alpha$, where $\alpha\neq 0, -1$ is a complex parameter
appearing in the 4-dimensional evaluation representations. They are
intertwiners among the level-$\alpha$ highest weight Fock-Wakimoto modules.
Screen currents which commute with the action of $U_q[\hat{sl(2|1)}]$ up to
total differences are presented. Integral formulae for N-point functions of
type I and type II q-vertex operators are proposed.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 04:51:05 GMT""}]","2016-09-07"
"math/9911059","Kosta Dosen","Kosta Dosen (U. of Toulouse III), Zoran Petric (U. of Belgrade)","The Maximality of Cartesian Categories","8 pages",,,"IRIT/97-42-R","math.CT math.LO",,"  It is proved that equalities between arrows assumed for cartesian categories
are maximal in the sense that extending them with any new equality in the
language of free cartesian categories collapses a cartesian category into a
preorder. An analogous result holds for categories with binary products, which
may lack a terminal object. The proof is based on a coherence result for
cartesian categories, which is related to model-theoretical methods of
normalization.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 05:51:25 GMT""}]","2007-05-23"
"math/9911060","J. M. Isidro","J. M. Isidro","A note on a theorem of H. Cartan","3 pages, AMS-TEX, to be published in Acta Math. Hungar",,,,"math.CV math.DG",,"  We prove that if $D\subset C^n$ is a bounded domain with real analytic
boundary and D is pseudoconvex then the compact open topology in the group of
holomorphic automorphisms of D is the topology of uniform convergence on D.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 09:36:22 GMT""}]","2007-05-23"
"math/9911061","Michael Baake","Michael Baake (Tuebingen)","Reversing Symmetry Groups of Cat Maps","5 pages, summary of results","Group 21, vol. II, eds. H.-D. Doebner, W. Scherer and C. Schulte,
  World Scientific, Singapore (1997), pp. 860-4",,,"math.DS",,"  Toral automorphisms are widely used (discrete) dynamical systems, the perhaps
most prominent example (in 2D) being Arnold's cat map. Given such an
automorphism M, its symmetries (i.e. all automorphisms that commute with M) and
reversing symmetries (i.e. all automorphisms that conjugate M into its inverse)
can be determined by means of number theoretic tools.
  Here, the case of GL(2,Z) is presented and the possible (reversing) symmetry
groups are completely classified. Extensions to affine mappings and to
k-(reversing) symmetries (i.e. (reversing) symmetries of the k-th power of M),
and applications to the projective group PGL(2,Z) and to trace maps (compare
math.DS/9901124), are briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 09:55:56 GMT""}]","2007-05-23"
"math/9911062","Vladimir S. Matveev","Petar J. Topalov and Vladimir S. Matveev","Geodesic equivalence and integrability","19 pages; LaTeX","MPIM preprint series, no. 74 (1998)",,,"math.DG math.SG nlin.SI solv-int",,"  We suggest a construction that, given a trajectorial diffeomorphism between
two Hamiltonian systems, produces integrals of them.
  As the main example we treat geodesic equivalence of metrics.
  We show that the existence of a non-trivially geodesically equivalent metric
leads to Liouville integrability, and present explicit formulae for integrals.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:06:35 GMT""}]","2016-09-07"
"math/9911063","Labruere","Catherine Labruere and Luis Paris","Presentations for the punctured mapping class groups in terms of Artin
  groups","Published by Algebraic and Geometric Topology at
  http://www.maths.warwick.ac.uk/agt/AGTVol1/agt-1-5.abs.html","Algebr. Geom. Topol. 1 (2001) 73-114","10.2140/agt.2001.1.73",,"math.GT",,"  Consider an oriented compact surface F of positive genus, possibly with
boundary, and a finite set P of punctures in the interior of F, and define the
punctured mapping class group of F relatively to P to be the group of isotopy
classes of orientation-preserving homeomorphisms h: F-->F which pointwise fix
the boundary of F and such that h(P) = P. In this paper, we calculate
presentations for all punctured mapping class groups. More precisely, we show
that these groups are isomorphic with quotients of Artin groups by some
relations involving fundamental elements of parabolic subgroups.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:12:37 GMT""},{""version"":""v2"",""created"":""Tue, 6 Mar 2001 10:21:57 GMT""}]","2014-10-01"
"math/9911064","Balazs Szendroi","Balazs Szendroi","On an example of Aspinwall and Morrison","AMSLaTeX, approx. 11 pages, minor changes, final version to appear in
  PAMS",,,,"math.AG",,"  In this paper, a family of smooth multiply connected Calabi--Yau threefolds
is investigated. The family presents a counterexample to global Torelli as
conjectured by Aspinwall and Morrison.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:11:44 GMT""},{""version"":""v2"",""created"":""Tue, 18 Sep 2001 10:28:13 GMT""},{""version"":""v3"",""created"":""Sun, 23 Jun 2002 16:19:25 GMT""}]","2007-05-23"
"math/9911065","Kosta Dosen","Mirjana Borisavljevic (U. of Belgrade), Kosta Dosen (U. of Toulouse
  III), Zoran Petric (U. of Belgrade)","On Permuting Cut with Contraction","32 pages, to appear in Mathematical Structures in Computer Science",,,"MI-7768","math.LO",,"  The paper presents a cut-elimination procedure for intuitionistic
propositional logic in which cut is eliminated directly, without introducing
the multiple-cut rule mix, and in which pushing cut above contraction is one of
the reduction steps. The presentation of this procedure is preceded by an
analysis of Gentzen's mix-elimination procedure, made in the perspective of
permuting cut with contraction. It is also shown that in the absence of
implication, pushing cut above contraction doesn't pose problems for directly
eliminating cut.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 12:29:26 GMT""}]","2007-05-23"
"math/9911066","Tahl Nowik","Tahl Nowik","Embeddings of Surfaces into 3-Space and Quadruple Points of Regular
  Homotopies","11 pages, 2 figures",,,,"math.GT",,"  Let F be a closed orientable surface. We give an explicit formula for the
number mod 2 of quadruple points occurring in any generic regular homotopy
between any two regularly homotopic embeddings e,e':F -> R^3. The formula is in
terms of homological data extracted from the two embeddings.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 12:53:57 GMT""}]","2007-05-23"
"math/9911067","Ildar Kh. Musin","I. Kh. Musin (Institute of mathematics, Ufa, Russia)","On the Fourier-Laplace Transform of Functionals on a Weighted Space of
  Infinitely Differentiable Functions","27 pages, LaTeX 2e",,"10.1070/SM2000v191n10ABEH000516",,"math.FA",,"  The strong dual space of linear continuous functionals on a weighted space G
of infinitely differentiable functions defined on the real line is described in
terms of their Fourier-Laplace transforms.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:49:06 GMT""}]","2015-06-26"
"nucl-ex/9911002","Elizabeth J. Beise","D.H. Barkhuff, S.P. Wells, T. Averett, D.H. Beck, E.J. Beise, D.
  Cheever, G. Dodson, S. Kowalski, R.D.McKeown, B.A. Mueller, M. Pitt, D.
  Spayde, C. Tschalaer, A. Zolfaghari","An Energy Feedback System for the MIT/Bates Linear Accelerator",,"Nucl.Instrum.Meth.A450:187-193,2000","10.1016/S0168-9002(00)00260-6",,"nucl-ex",,"  We report the development and implementation of an energy feedback system for
the MIT/Bates Linear Accelerator Center. General requirements of the system are
described, as are the specific requirements, features, and components of the
system unique to its implementation at the Bates Laboratory. We demonstrate
that with the system in operation, energy fluctuations correlated with the 60
Hz line voltage and with drifts of thermal origin are reduced by an order of
magnitude.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:54:44 GMT""}]","2010-11-15"
"nucl-th/9911032","Tomonori Tanigawa","Tomonori Tanigawa (Kyushu University), Masayuki Matsuzaki (Fukuoka
  University of Education)","Constructing Effective Pair Wave Function from Relativistic Mean Field
  Theory with a Cutoff","9 pages, 4 figures","Prog.Theor.Phys. 102 (1999) 897","10.1143/PTP.102.897",,"nucl-th",,"  We propose a simple method to reproduce the ^1S_0 pairing properties of
nuclear matter, which are obtained using a sophisticated model, by introducing
a density-independent cutoff into the relativistic mean field model. This can
be applied successfully to the physically relevant density range.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:35:05 GMT""}]","2009-10-31"
"nucl-th/9911034","Harald W. Griesshammer","Fabrizio Gabbiani (Duke U), Paulo F. Bedaque (INT) and Harald W.
  Griesshammer (TU M""unchen)","Higher Partial Waves in an Effective Field Theory Approach to nd
  Scattering","23 pages LaTeX2e with 8 figures, uses packages includegraphicx (18
  .eps files), amssymb, color and feynmp (necessary Metapost files included).
  Petty changes, version for publication in Nucl. Phys. A","Nucl.Phys. A675 (2000) 601-620","10.1016/S0375-9474(00)00181-0",,"nucl-th hep-ph",,"  The phase shifts for the higher partial waves (l\ge 1) in the spin quartet
and doublet channel of nd scattering at centre-of-mass energies up to 15 MeV
are presented at next-to-leading and next-to-next-to-leading order in an
effective field theory in which pions are integrated out. As available, the
results agree with both phase shift analyses and potential model calculations.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:25:19 GMT""},{""version"":""v2"",""created"":""Mon, 13 Mar 2000 16:27:56 GMT""},{""version"":""v3"",""created"":""Wed, 19 Apr 2000 15:31:16 GMT""}]","2009-10-31"
"nucl-th/9911035","Harald W. Griesshammer","Harald W. Griesshammer (TU M""unchen)","A Sketch of Two and Three Bodies","11 pages (stone-age) LaTeX with 7 figures, uses packages epsfig (8
  .eps files) and feynmp (necessary Metapost files included). Talk held at the
  International Workshop on Hadron Physics ``Effective Theories of Low Energy
  QCD'' in Coimbra, Portugal, 10th -- 15th September 1999; to be published in
  the Proceedings",,"10.1063/1.1303015",,"nucl-th hep-ph",,"  A cartoon of the Effective Field Theory of many nucleon systems is drawn,
concentrating on Compton scattering in the two nucleon system, and on $nd$
scattering in the three body system.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:46:23 GMT""}]","2009-10-31"
"nucl-th/9911036","Shichang Liu","Y. Alhassid, G.F. Bertsch, S. Liu and H. Nakada","Parity Dependence of Nuclear Level Densities","14 pages, 4 eps figures included, RevTex","Phys.Rev.Lett. 84 (2000) 4313-4316","10.1103/PhysRevLett.84.4313",,"nucl-th",,"  A simple formula for the ratio of the number of odd- and even-parity states
as a function of temperature is derived. This formula is used to calculate the
ratio of level densities of opposite parities as a function of excitation
energy. We test the formula with quantum Monte Carlo shell model calculations
in the $(pf+g_{9/2})$-shell. The formula describes well the transition from low
excitation energies where a single parity dominates to high excitations where
the two densities are equal.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 19:22:01 GMT""}]","2009-10-31"
"physics/9911011","Calin Gh. Buzea","M. Agop, C. Gh. Buzea and B. Ciobanu","On Gravitational Shielding in Electromagnetic Fields","10 pages",,,,"physics.gen-ph",,"  We show the presence of an electromagnetic field can cause a gravitational
Meissner effect and, as a result, a gravitational shielding. With this aim in
view we must first unveil the following problems : generalized Maxwell
equations, generalized London equations, generalized Meissner effect,
generalized shielding, etc.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 00:16:18 GMT""}]","2007-05-23"
"physics/9911012","Igor Bray","Chris Plottke and Igor Bray","Calculation of the free-free transitions in the electron-hydrogen
  scattering S-wave model",,,"10.1088/0953-4075/33/2/103",,"physics.atom-ph",,"  The S-wave model of electron-hydrogen scattering is evaluated using the
convergent close-coupling method with an emphasis on scattering from excited
states including an initial state from the target continuum. Convergence is
found for discrete excitations and the elastic free-free transition. The latter
is particularly interesting given the corresponding potential matrix elements
are divergent.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 00:56:10 GMT""}]","2009-10-31"
"physics/9911013","Doug Snyder","D. M. Snyder","On the Conservation of Physical Quantities","2 pages, Perceptual and Motor Skills, 1985, vol. 60, p. 754",,,"01-85","physics.gen-ph",,"  Certain transformations of isolated physical systems underlying various
conservation laws in physics are noted. As regards each of these
transformations, there is a theoretical action that is equivalent to a matched
physical action on the system. Evidence supporting this thesis is found in
experimental psychological research where results of various experiments allow
that the imagined rotation of an object is analogous to a physical rotation.
The conservation laws based on the transformations noted are theoretical or
mental in nature to the same extent that they are physical. When one of the
conservation principles noted is tested by carrying out the relevant
transformation on the system, this test is essentially one of the influence of
mental activity on physical reality.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 04:48:27 GMT""}]","2007-05-23"
"physics/9911014","M. Steinberg","M.Steinberg, W. Ebeling, and J. Ortner","Second virial coefficient for the Landau diamagnetism of a two component
  plasma","16 pages, 4 figures, to appear in Phys.Rev.E",,"10.1103/PhysRevE.61.2290",,"physics.plasm-ph",,"  This paper investigates the density expansion of the thermodynamic properties
of a two component plasma under the influence of a weak constant uniform
magnetic field. We start with the fugacity expansion for the Helmholtz free
energy. The leading terms with respect to the density are calculated by a
perturbation expansion with respect to the magnetic field. We find a new
magnetic virial function for a low density plasma which is exact in quadratic
order with respect to the magnetic field. Using these results we compute the
magnetization and the magnetic susceptibility.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:19:47 GMT""}]","2009-10-31"
"physics/9911015","Dr. R. Hasson","R Hasson","Is the best estimate of power equal to the power of the best estimate?","10 pages, 6 figures, submitted to Inverse Problems",,,,"physics.med-ph math.NA physics.data-an",,"  In an inverse problem, such as the determination of brain activity given
magnetic field measurements outside the head, the main quantity of interest is
often the power associated with a source. The `standard' way to determine this
has been to find the best linear estimate of the source and calculate the power
associated with this. This paper proposes an alternative method and then
relationship to this previous method of estimation is explored both
algebraically and by numerical simulation.
  In abstract terms the problem can be stated as follows. Let H be a Hilbert
space with inner product <, >. Let L be a linear map: H->R^n. Suppose that we
are a given data vector b in R^n such that b=Lx+e where e is a vector of random
variables with zero mean and given covariance matrix that represents
measurement errors. The problem that is addressed in this paper is to estimate
<x,Xx> where X is an operator on H (e.g. the characteristic function of a
region of interest).
  Keywords: Linear inverse problem, biomagnetic inverse problem,
magnetoencephalography (MEG).
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 12:45:00 GMT""}]","2007-05-23"
"quant-ph/9911040","Svozil Karl","Hans Havlicek, Guenther Krenn, Johann Summhammer and Karl Svozil","Coloring the rational quantum sphere and the Kochen-Specker theorem","9 pages, 1 figure","J. Phys. A: Math. Gen. 34(14), 3071-3077 (13 April 2001)",,,"quant-ph",,"  We review and extend recent findings of Godsil and Zaks, who published a
constructive coloring of the rational unit sphere with the property that for
any orthogonal tripod formed by rays extending from the origin of the points of
the sphere, exactly one ray is red, white and black. They also showed that any
consistent coloring of the real sphere requires an additional color. We discuss
some of the consequences for the Kochen-Specker theorem.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:24:12 GMT""},{""version"":""v2"",""created"":""Mon, 11 Jun 2001 08:31:56 GMT""}]","2007-05-23"
"quant-ph/9911041","Anthony Hams","Hans De Raedt, Anthony Hams, Kristel Michielsen, Koen De Raedt","Quantum Computer Emulator","28 pages, 4, figures, see also
  http://rugth30.phys.rug.nl/compphys/qce.htm ; figures updated, instructions
  changed",,"10.1016/S0010-4655(00)00132-6",,"quant-ph",,"  We describe a quantum computer emulator for a generic, general purpose
quantum computer. This emulator consists of a simulator of the physical
realization of the quantum computer and a graphical user interface to program
and control the simulator. We illustrate the use of the quantum computer
emulator through various implementations of the Deutsch-Jozsa and Grover's
database search algorithm.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:47:03 GMT""},{""version"":""v2"",""created"":""Wed, 29 Mar 2000 10:09:44 GMT""}]","2009-10-31"
"quant-ph/9911042","Christiane Koch","Christiane Koch and Bernd Esser","Spin-Boson Hamiltonian and Optical Absorption of Molecular Dimers","15 pages, revTeX, 8 figures, accepted for publication in Phys. Rev. A","Phys. Rev. A 61, 022508 (2000)","10.1103/PhysRevA.61.022508",,"quant-ph",,"  An analysis of the eigenstates of a symmetry-broken spin-boson Hamiltonian is
performed by computing Bloch and Husimi projections. The eigenstate analysis is
combined with the calculation of absorption bands of asymmetric dimer
configurations constituted by monomers with nonidentical excitation energies
and optical transition matrix elements. Absorption bands with regular and
irregular fine structures are obtained and related to the transition from the
coexistence to a mixing of adiabatic branches in the spectrum. It is shown that
correlations between spin states allow for an interpolation between absorption
bands for different optical asymmetries.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:12:17 GMT""}]","2012-04-20"
