"adap-org/9907004","Klaus Behrndt","Andreas Schaale","A dynamical model of non regulated markets","12 pages LaTeX, 4 ps figures, Contact: Schaale@snafu.de",,,"IfH-DESY Seminar Report 12-22-1998","adap-org nlin.AO",,"  The main focus of this work is to understand the dynamics of non regulated
markets. The present model can describe the dynamics of any market where the
pricing is based on supply and demand. It will be applied here, as an example,
for the German stock market presented by the Deutscher Aktienindex (DAX), which
is a measure for the market status. The duality of the present model consists
of the superposition of the two components - the long and the short term
behaviour of the market. The long term behaviour is characterised by a stable
development which is following a trend for time periods of years or even
decades. This long term growth (or decline) is based on the development of
fundamental market figures. The short term behaviour is described as a
dynamical evaluation (trading) of the market by the participants. The trading
process is described as an exchange between supply and demand. In the framework
of this model there the trading is modelled by a system of nonlinear
differential equations. The model also allows to explain the chaotic behaviour
of the market as well as periods of growth or crashes.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:54:35 GMT""}]","2007-05-23"
"hep-th/9907132","Masafumi Fukuma","Masafumi Fukuma, Takeshi Oota and Hirokazu Tanaka","Comments on T-dualities of Ramond-Ramond Potentials","26 pages; LaTeX; major version up; discussion on the Chern-Simons
  term added; references added","Prog.Theor.Phys.103:425-446,2000","10.1143/PTP.103.425","YITP-99-43","hep-th",,"  The type IIA/IIB effective actions compactified on T^d are known to be
invariant under the T-duality group SO(d, d; Z) although the invariance of the
R-R sector is not so direct to see. Inspired by a work of Brace, Morariu and
Zumino,we introduce new potentials which are mixture of R-R potentials and the
NS-NS 2-form in order to make the invariant structure of R-R sector more
transparent. We give a simple proof that if these new potentials transform as a
Majorana-Weyl spinor of SO(d, d; Z), the effective actions are indeed invariant
under the T-duality group. The argument is made in such a way that it can apply
to Kaluza-Klein forms of arbitrary degree. We also demonstrate that these new
fields simplify all the expressions including the Chern-Simons term.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:37:05 GMT""},{""version"":""v2"",""created"":""Fri, 16 Jul 1999 19:26:09 GMT""},{""version"":""v3"",""created"":""Mon, 29 Nov 1999 10:50:37 GMT""}]","2008-11-26"
"hep-th/9907133","Wolfgang Lerche","W. Lerche and S. Stieberger","1/4 BPS States and Non-Perturbative Couplings in N=4 String Theories","32 p, harvmac, 1 fig. Revision: taking the fermionic contractions
  into account, the K3 elliptic genus disappears","Adv.Theor.Math.Phys.3:1539-1574,1999",,"CERN-TH/99-210","hep-th",,"  We compute certain 2K+4-point, one-loop couplings in the type IIA string
compactified on K3 x T^2, which are related to a topological index on this
manifold. Their special feature is that they are sensitive to only short and
intermediate BPS multiplets. The couplings derive from underlying prepotentials
G[K](T,U), which can be nicely summed up into a fundamental generating
function. In the dual heterotic string on T^6, the amplitudes describe
non-perturbative gravitational corrections to K-loop amplitudes due to bound
states of fivebrane instantons with heterotic world-sheet instantons. We argue,
as a consequence, that our results also give information about instanton
configurations in six dimensional Sp(2k) gauge theories on T^6.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:15:05 GMT""},{""version"":""v2"",""created"":""Mon, 2 Aug 1999 19:57:23 GMT""},{""version"":""v3"",""created"":""Tue, 26 Oct 1999 16:14:41 GMT""}]","2014-11-18"
"hep-th/9907134","Sung-Kil Yang","Yasuhiko Yamada and Sung-Kil Yang","Affine 7-brane Backgrounds and Five-Dimensional $E_N$ Theories on $S^1$","23 pages, Latex, no figures, some statements clarified, typos
  corrected, references and note added","Nucl.Phys.B566:642-660,2000","10.1016/S0550-3213(99)00634-3","UTHEP-407","hep-th",,"  Elliptic curves for the 7-brane configurations realizing the affine Lie
algebras $\wh E_n$ $(1 \leq n \leq 8)$ and $\wh{\wt E}_n$ $(n=0,1)$ are
systematically derived from the cubic equation for a rational elliptic surface.
It is then shown that the $\wh E_n$ 7-branes describe the discriminant locus of
the elliptic curves for five-dimensional (5D) N=1 $E_n$ theories compactified
on a circle. This is in accordance with a recent construction of 5D N=1 $E_n$
theories on the IIB 5-brane web with 7-branes, and indicates the validity of
the D3 probe picture for 5D $E_n$ theories on $\bR^4 \times S^1$. Using the
$\wh E_n$ curves we also study the compactification of 5D $E_n$ theories to
four dimensions.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 00:42:45 GMT""},{""version"":""v2"",""created"":""Tue, 17 Aug 1999 06:13:58 GMT""}]","2010-11-19"
"hep-th/9907135","Subir Ghosh","Subir Ghosh","Self-interaction effects on screening in three-dimensional QED",,"J.Phys.A33:1915-1919,2000","10.1088/0305-4470/33/9/313",,"hep-th",,"  We have shown that self interaction effects in massive quantum
electrodynamics can lead to the formation of bound states of quark antiquark
pairs. A current-current fermion coupling term is introduced, which induces a
well in the potential energy profile. Explicit expressions of the effective
potential and renormalized parameters are provided.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 09:09:33 GMT""}]","2008-11-26"
"hep-th/9907136","Doerfel","B.-D. Doerfel","Non-commutative Euclidean structures in compact spaces","Changed content","J.Phys.A34:2583-2594,2001","10.1088/0305-4470/34/12/306",,"hep-th",,"  Based on results for real deformation parameter q we introduce a compact non-
commutative structure covariant under the quantum group SOq(3) for q being a
root of unity. To match the algebra of the q-deformed operators with necesarry
conjugation properties it is helpful to define a module over the algebra
genera- ted by the powers of q. In a representation where X is diagonal we show
how P can be calculated. To manifest some typical properties an example of a
one-di- mensional q-deformed Heisenberg algebra is also considered and compared
with non-compact case.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:03:59 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 2000 09:25:59 GMT""}]","2008-11-26"
"hep-th/9907137","T. Sami","A. Rida (1), T. Sami (2) ((1) USTHB, Alger Algerie, (2) SUBATECH,
  Nantes France)","The non chiral fusion rules in rational conformal field theories","11 pages, corrected and completed version","Lett.Math.Phys. 58 (2001) 239-248",,,"hep-th",,"  We introduce a general method in order to construct the non chiral fusion
rules which determine the operator content of the operator product algebra for
rational conformal field theories. We are particularly interested in the models
of the complementary D-like solutions of modular invariant partition functions
with cyclic center Zn. We find that the non chiral fusion rules have a
Zn-grading structure.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 13:35:16 GMT""},{""version"":""v2"",""created"":""Tue, 6 Jun 2000 10:23:21 GMT""}]","2007-05-23"
"hep-th/9907138","Paul Federbush","Paul Federbush (Univ. of Michigan)","Some Generalized BRS Transformations. II A Quantum Gravity Model","8 pages, LaTeX",,,,"hep-th",,"  Generalized BRS transformations such as introduced in Part I (hep-th/9906245)
are applied to a model of quantum gravity. This development is technically
complex; but at the least should illustrate how much less rigid and more
general of application are the new BRS transformations.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:59:11 GMT""}]","2007-05-23"
"math-ph/9907012","Alexander Soshnikov","Alexander B. Soshnikov","Gaussian fluctuation for the number of particles in Airy, Bessel, sine
  and other determinantal random point fields","The essential alterations are a slightly different formulation of the
  Costin-Lebowitz Theorem and the addition of Remark 4 in the section 2",,,"UC Davis Math 1999-20","math-ph math.MP math.PR",,"  We prove the Central Limit Theorem for the number of eigenvalues near the
spectrum edge for hermitian ensembles of random matrices. To derive our
results, we use a general theorem, essentially due to Costin and Lebowitz,
concerning the Gaussian fluctuation of the number of particles in random point
fields with determinantal correlation functions. As another corollary of
Costin-Lebowitz Theorem we prove CLT for the empirical distribution function of
the eigenvalues of random matrices from classical compact groups.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 22:26:38 GMT""},{""version"":""v2"",""created"":""Tue, 14 Dec 1999 22:17:52 GMT""}]","2007-05-23"
"math-ph/9907013","Alexander Soshnikov","Alexander Soshnikov","Universality at the edge of the spectrum in Wigner random matrices","We corrected several misprints and little mistakes (the most
  important one is formula (1.15)). We also reformulated two auxiliary theorems
  (Theorem 2 and Theorem 3) to emphasize the asymptotic nature of the results","Commun. Math. Phys. v.207, 697-733 (1999)","10.1007/s002200050743","UC Davis Math 1999-21","math-ph math.MP math.PR",,"  We prove universality at the edge for rescaled correlation functions of
Wigner random matrices in the limit $n\to +\infty$. As a corollary, we show
that, after proper rescaling, the 1st, 2nd, 3rd, etc. eigenvalues of Wigner
random hermitian (resp. real symmetric) matrix weakly converge to the
distributions established by Tracy and Widom in G.U.E. (G.O.E.) cases.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 22:38:46 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jan 2003 21:50:42 GMT""}]","2009-10-31"
"math-ph/9907014","J. Schnack","K. Baerwinkel, H.-J. Schmidt, J. Schnack","On cyclically shifted strings","7 pages, submitted to Discrete Applied Mathematics. More information
  at http://www.physik.uni-osnabrueck.de/makrosysteme/",,,,"math-ph math.MP",,"  If a string is cyclically shifted it will re-appear after a certain number of
shifts, which will be called its order. We solve the problem of how many
strings exist with a given order. This problem arises in the context of quantum
mechanics of spin systems.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:41:52 GMT""}]","2007-05-23"
"math/9907103","Jean-Francois Burnol","Jean-Francois Burnol","Addendum to ""Quaternionic Gamma functions...""","6 pages, Plain TeX, no figures","Math. Res. Lett. 8 (2001), no. 1-2, 209-223",,,"math.NT",,"  This note adds three annexes to my previous paper math/9904044
  Annex 1. A sufficient condition for self-adjointness
  Annex 2. Invariant closed operators on locally compact abelian groups
  Annex 3. The trace of Connes for quaternions
  This last item is a minor variation on the evaluation of Connes's trace
(math/9811068), which is explained here in the setting of quaternions and can
be applied also to any abelian local field.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 21:20:30 GMT""}]","2016-09-07"
"math/9907104","Bert Wiest","Hamish Short (Universite de Provence, Marseille), Bert Wiest
  (Universite de Provence, Marseille)","Orderings of mapping class groups after Thurston","32 pages, 10 figures",,,,"math.GT math.GR",,"  We are concerned with mapping class groups of surfaces with nonempty
boundary. We present a very natural method, due to Thurston, of finding many
different left orderings of such groups. The construction involves equipping
the surface with a hyperbolic structure, embedding the universal cover in the
hyperbolic plane, and extending the action of the mapping class group on it to
its limit points on the circle at infinity. We classify all orderings of braid
groups which arise in this way. Moreover, restricting to a certain class of
``nonpathological'' orderings, we prove that there are only finitely many
conjugacy classes of such orderings.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 22:06:21 GMT""}]","2007-05-23"
"math/9907105","Maurizio Parton","Maurizio Parton","Hopf surfaces: a family of locally conformal Kaehler metrics and
  elliptic fibrations","29 pages","Ann. Mat. Pura Appl. (4) 182 (2003), no. 3, 287--306","10.1007/s10231-002-0066-9",,"math.DG",,"  We describe a family of locally conformal Kaehler metrics on class 1 Hopf
surfaces H containing some recent metrics constructed by P. Gauduchon and L.
ornea. We study some canonical foliations associated to these metrics, in
particular a 2-dimensional foliation E that is shown to be independent of the
metric. We elementary prove that E has compact leaves if and only if H is
elliptic. In this case the leaves of E give explicitly the elliptic fibration
of H, and the natural orbifold structure on the leaf space is illustrated.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 02:56:09 GMT""}]","2009-09-25"
"math/9907106","Gelaki","Shlomo Gelaki","Some Properties and Examples of Triangular Pointed Hopf Algebras","10 pages, latex; Theorem 4.4 was generalized and the statement of
  Theorem 5.1 was corrected",,,,"math.QA",,"  A fundamental problem in the theory of Hopf algebras is the classification
and construction of finite-dimensional (minimal) triangular Hopf algebras (A,R)
introduced by Drinfeld. Only recently Etingof and the author completely solved
this problem for semisimple A over algebraically closed fields of
characteristics 0 and p>>dim(A) (any p if one assumes that A is also
cosemisimple). In this paper we take the first step towards solving this
problem for finite-dimensional pointed Hopf algebras over an algebraically
closed field k of characteristic 0. We first prove that the fourth power of the
antipode of any triangular pointed Hopf algebra A is the identity. We do that
by focusing on minimal triangular pointed Hopf algebras (A,R) (every triangular
Hopf algebra contains a minimal triangular sub Hopf algebra) and proving that
the group algebra of the group of grouplike elements of A (which must be
abelian) admits a minimal triangular structure and consequently that A has the
structure of a biproduct. We also generalize our result on the order of the
antipode to any finite-dimensional quasitriangular Hopf algebra A whose
Drinfeld element u acts as a scalar in any irreducible representation of A
(e.g. when A^* is pointed). Second, we describe a method of construction of
finite-dimensional pointed Hopf algebras which admit a minimal triangular
structure, and classify all their minimal triangular structures. We conclude
the paper by proving that any minimal triangular Hopf algebra which is
generated as an algebra by grouplike elements and skew primitive elements is
isomorphic to a minimal triangular Hopf algebra constructed using our method.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 03:39:03 GMT""},{""version"":""v2"",""created"":""Fri, 8 Oct 1999 00:04:21 GMT""},{""version"":""v3"",""created"":""Thu, 4 Nov 1999 21:29:48 GMT""},{""version"":""v4"",""created"":""Tue, 21 Nov 2000 09:46:53 GMT""}]","2007-05-23"
"math/9907108","Sergey Finashin","Sergey Finashin","Knotting of Algebraic Curves in CP2","9 pages, 4 figures. Revision: an Appendix with a Figure is added; a
  minor correction in the Intro",,,"Math 99/188","math.GT math.AG",,"  I construct ""fake algebraic curves"" in $Cp^2$.
  More precisely, for any k>2, I construct infinitely many pairwise smoothly
non-isotopic (and moreover not ambient diffeomorphic) smooth surfaces $F\subset
Cp^2$ homeomorphic to a non-singular algebraic curve of degree 2k, realizing
the same homology class as such a curve and having abelian fundamental group of
the complement $Cp^2-F$.
  This gives an answer to Problem 4.110 of Kirby's list.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:40:07 GMT""},{""version"":""v2"",""created"":""Sun, 18 Jul 1999 21:42:43 GMT""},{""version"":""v3"",""created"":""Tue, 27 Jul 1999 09:32:23 GMT""}]","2007-05-23"
"nucl-ex/9907006","Kirill Filimonov","E877 Collaboration: K. Filimonov, et al","Recent results from E877 for Au+Au collisions at AGS energy","To be published in the proceedings of 14th International Conference
  on Ultrarelativistic Nucleus-Nucleus Collisions (QM99), Torino, Italy, 10-15
  May 1999","Nucl.Phys. A661 (1999) 198-204","10.1016/S0375-9474(99)85023-4",,"nucl-ex",,"  The E877 experiment was dedicated to the study of hadron distributions in
Au+Au collisions at the AGS. Here, we will mainly present results from the
analysis of the data obtained from the last data taking run, which took place
in the fall of 1995 and recorded 46 millions Au+Au events at 11.5 AGeV/c. The
improved experimental apparatus and large statistics allowed to extend our
previous measurements of particle flow to K^+, K^-, pbar and lambda. We will
also report our latest results on two-particle correlations of like and unlike
particles, as well as the measurements of double differential multiplicities of
lambda-hyperons.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 12:37:09 GMT""},{""version"":""v2"",""created"":""Mon, 11 Oct 1999 10:57:42 GMT""}]","2015-06-26"
"nucl-th/9907061","Eugene Zabrodin","L.V. Bravina (1,2), I.N. Mishustin (3,4,5), J.P. Bondorf (3), Amand
  Faessler (1), E.E. Zabrodin (1,2), ((1)- Institut fuer Theoretische Physik,
  Universitaet Tuebingen, Germany; (2)- Institute for Nuclear Physics, Moscow
  State University, Russia; (3)- The Niels Bohr Institute, Copenhagen, Denmark;
  (4)- The Kurchatov Institute, Russian Scientific Center, Moscow, Russia; (5)-
  Institut fuer Theoretische Physik, Universitaet Frankfurt, Germany)","Microscopic study of freeze-out in relativistic heavy ion collisions at
  SPS energies","REVTEX, 26 pages incl. 9 figures and 2 tables, to be published in the
  Physical Review C","Phys.Rev. C60 (1999) 044905","10.1103/PhysRevC.60.044905",,"nucl-th hep-ph",,"  The freeze-out conditions in the light (S+S) and heavy (Pb+Pb) colliding
systems of heavy nuclei at 160 AGeV/$c$ are analyzed within the microscopic
Quark Gluon String Model (QGSM). We found that even for the most heavy systems
particle emission takes place from the whole space-time domain available for
the system evolution, but not from the thin ''freeze-out hypersurface"", adopted
in fluid dynamical models. Pions are continuously emitted from the whole volume
of the reaction and reflect the main trends of the system evolution. Nucleons
in Pb+Pb collisions initially come from the surface region. For both systems
there is a separation of the elastic and inelastic freeze-out. The mesons with
large transverse momenta, $p_t$, are predominantly produced at the early stages
of the reaction. The low $p_t$-component is populated by mesons coming mainly
from the decay of resonances. This explains naturally the decreasing source
sizes with increasing $p_t$, observed in HBT interferometry. Comparison with
S+S and Au+Au systems at 11.6 AGeV/$c$ is also presented.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:14:45 GMT""}]","2009-10-31"
"nucl-th/9907062","Eugene Zabrodin","L.V. Bravina, E.E. Zabrodin, M.I. Gorenstein, S.A. Bass, M. Belkacem,
  M. Bleicher, M. Brandstetter, C. Ernst, Amand Faessler, W. Greiner, S. Soff,
  H. Stoecker, H. Weber","Equilibrium and non-equilibrium effects in relativistic heavy ion
  collisions","LaTEX, requires espcrs1.sty, 4 pages, 5 figures embedded, talk at
  Quark Matter '99, Torino, Italy, May 10-14, 1999","Nucl.Phys. A661 (1999) 600-603","10.1016/S0375-9474(99)85097-0",,"nucl-th hep-ph",,"  The hypothesis of local equilibrium (LE) in relativistic heavy ion collisions
at energies from AGS to RHIC is checked in the microscopic transport model. We
find that kinetic, thermal, and chemical equilibration of the expanding
hadronic matter is nearly reached in central collisions at AGS energy for $t
\geq 10$ fm/$c$ in a central cell. At these times the equation of state may be
approximated by a simple dependence $P \cong (0.12-0.15) \epsilon$. Increasing
deviations of the yields and the energy spectra of hadrons from statistical
model values are observed for increasing bombarding energies. The origin of
these deviations is traced to the irreversible multiparticle decays of strings
and many-body $(N \geq 3)$ decays of resonances. The violations of LE indicate
that the matter in the cell reaches a steady state instead of idealized
equilibrium. The entropy density in the cell is only about 6% smaller than that
of the equilibrium state.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:31:56 GMT""}]","2015-06-26"
"nucl-th/9907063","M. P. Pato","M. S. Hussein and M. P. Pato","Distribution of matrix elements of random operators","7 pages",,,,"nucl-th",,"  It is shown that an operator can be defined in the abstract space of random
matrices ensembles whose matrix elements statistical distribution simulates the
behavior of the distribution found in real physical systems. It is found that
the key quantity that determines these distribution is the commutator of the
operator with the Hamiltonian. Application to symmetry breaking in quantum
many-body systems is discussed.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 18:32:51 GMT""}]","2007-05-23"
"nucl-th/9907064","Pasi Huovinen","Pasi Huovinen and Madappa Prakash","Baryonic contributions to e+e- yields in a hydrodynamic model of Pb+Au
  collisions at the SPS","4 pages, 4 figures, proceedings of Quark Matter 99","Nucl.Phys. A661 (1999) 522-525","10.1016/S0375-9474(99)85080-5",,"nucl-th hep-ph",,"  We analyze e+e- yields from matter containing baryons in addition to mesons
using a hydrodynamic approach to describe Pb+Au collisions at 158 A GeV/c. We
use two distinctly different e+e- production rates to provide contrast.
Although the presence of baryons leads to significant enhancement of e+e-
emission relative to that from mesons-only matter, the calculated results fall
below the data in the range 400 < M/MeV < 600. The calculated results are,
however, only 1.3-1.5 standard deviations below the data, which may not be
statistically significant.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 08:27:10 GMT""}]","2015-06-26"
"nucl-th/9907065","Javid Sheikh","Javid A. Sheikh and Peter Ring (Physik-Department, Technische
  Universitat Munchen, Garching, Germany)","Symmetry-Projected Hartree-Fock-Bogoliubov Equations","24 pages, 1 figure","Nucl.Phys. A665 (2000) 71-91","10.1016/S0375-9474(99)00424-8",,"nucl-th",,"  Symmetry-projected Hartree-Fock-Bogoliubov (HFB) equations are derived using
the variational ansatz for the generalized one-body density-matrix in the
Valatin form. It is shown that the projected-energy functional can be
completely expressed in terms of the HFB density-matrix and the pairing-tensor.
The variation of this projected-energy is shown to result in HFB equations with
modified expressions for the pairing-potential and the Hartree-Fock field. The
expressions for these quantities are explicitly derived for the case of
particle number-projection. The numerical applicability of this projection
method is studied in an exactly soluble model of a deformed single-j shell.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 10:05:36 GMT""}]","2009-10-31"
"nucl-th/9907066","Alberto Polleri","Alberto Polleri, Raffaele Mattiello, Igor Mishustin, Jakob Bondorf","Reconstruction of the Proton Source in Relativistic Heavy Ion Collisions","4 pages LaTeX, 2 ps figures, uses psfig.sty and espcrc1.sty,
  Contributed talk presented at Quark Matter '99, Torino, Italy","Nucl.Phys. A661 (1999) 452-455","10.1016/S0375-9474(99)85063-5",,"nucl-th",,"  We describe a direct method to reconstruct the transverse proton source
formed in a relativistic heavy ion collision, making use of experimentally
measured proton and deuteron spectra and assuming that deuterons are formed via
two-nucleon coalescence. We show that an ambiguity with respect to the source
temperature still persists and we indicate a possible solution to the problem.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:24:47 GMT""}]","2015-06-26"
"nucl-th/9907067","D. Koltun","Daniel S. Koltun","What do mesons have to do with nuclear structure?","Invited talk at Nuclear Matter, Hot and Cold: a Symposium in Memory
  of Judah M. Eisenberg, Tel Aviv, Israel, April 14-16, 1999, to be published
  in proceedings. Latex, 8 pages [epsf], no figures",,,,"nucl-th",,"  The theory of nuclear structure (binding, low energy spectra, transitions,
etc.) depends on nucleon-nucleon (NN) interactions. The meson theory of NN
interactions has predictive power for NN scattering, and partial success when
applied to the theory of nuclear structure. Is it possible to test this
theoretical picture -- by direct experimental interaction with mesons in
nuclei? Some experimental searches for the `pion excess' in nuclei have
ambiguous results. How sensitive are such experiments to the mesonic aspects of
nuclear structure? These questions are addressed in this talk. More details and
references are given in Reference [1].
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:57:03 GMT""}]","2007-05-23"
"patt-sol/9907004","Emilio Hernandez-Garcia","Emilio Hernandez-Garcia, Miguel Hoyuelos, Pere Colet, Maxi San Miguel","Dynamics of localized structures in vector waves","4 pages, 5 figures included in the text. To appear in Phys. Rev.
  Lett. (2000). Related material at http://www.imedea.uib.es/Nonlinear and
  http://www.imedea.uib.es/Photonics . In this new version, Fig. 3 has been
  replaced by a better one","Phys. Rev. Lett. 85, 744-747 (2000)","10.1103/PhysRevLett.85.744","IMEDEA99072","patt-sol nlin.PS",,"  Dynamical properties of topological defects in a twodimensional complex
vector field are considered. These objects naturally arise in the study of
polarized transverse light waves. Dynamics is modeled by a Vector Complex
Ginzburg-Landau Equation with parameter values appropriate for linearly
polarized laser emission. Creation and annihilation processes, and
selforganization of defects in lattice structures, are described. We find
""glassy"" configurations dominated by vectorial defects and a melting process
associated to topological-charge unbinding.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:17:27 GMT""},{""version"":""v2"",""created"":""Tue, 27 Jun 2000 13:28:54 GMT""}]","2009-10-31"
"quant-ph/9907055","Michael G. Moore","G.A. Prataviera, E. V. Goldstein, and P. Meystre","Mutual coherence of optical and matter waves",,,"10.1103/PhysRevA.60.4846",,"quant-ph",,"  We propose a scheme to measure the cross-correlations and mutual coherence of
optical and matter fields. It relies on the combination of a matter-wave
detector operating by photoionization of the atoms and a traditional absorption
photodetector. We show that the double-detection signal is sensitive to
cross-correlation functions of light and matter waves.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 20:24:51 GMT""}]","2009-10-31"
"quant-ph/9907056","Howard N. Barnum","Howard Barnum, Herbert J. Bernstein, Lee Spector","A quantum circuit for OR","4 pages + 2 postscript figures. Version 3 restores the figures to
  Version 2, which changed the title, abstract, introduction and concluding
  paragraph, order of material, and emphasis from Version 1. No change in
  technical content",,,,"quant-ph",,"  We give the first quantum circuit for computing $f(0)$ OR $f(1)$ more
reliably than is classically possible with a single evaluation of the function.
OR therefore joins XOR (i.e. parity, $f(0) \oplus f(1)$) to give the full set
of logical connectives (up to relabeling of inputs and outputs) for which there
is quantum speedup. The XOR algorithm is of fundamental importance in quantum
computation; our OR algorithm (found with the aid of genetic programming), may
represent a new quantum computational effect, also useful as a ``subroutine''.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:00:38 GMT""},{""version"":""v2"",""created"":""Thu, 30 Sep 1999 21:02:54 GMT""},{""version"":""v3"",""created"":""Fri, 8 Oct 1999 16:26:32 GMT""}]","2007-05-23"
