"adap-org/9912003","D'hulst","R. d'Hulst and G.J. Rodgers","Democracy versus Dictatorship in Self-Organized Models of Financial
  Markets","6 pages, 4 figures (included)",,"10.1016/S0378-4371(00)00089-3",,"adap-org nlin.AO",,"  Models to mimic the transmission of information in financial markets are
introduced. As an attempt to generate the demand process, we distinguish
between dictatorship associations, where groups of agents rely on one of them
to make decision, and democratic associations, where each agent takes part in
the group decision. In the dictatorship model, agents segregate into two
distinct populations, while the democratic model is driven towards a critical
state where groups of agents of all sizes exist. Hence, both models display a
level of organization, but only the democratic model is self-organized. We show
that the dictatorship model generates less volatile markets than the democratic
model.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:03:29 GMT""}]","2009-10-31"
"hep-ph/9912381","Carl E. Carlson","Carl E. Carlson (William & Mary)","Semiexclusive Processes: A different way to probe hadron structure","Invited talk at the 12th Nuclear Physics Summer School and Symposium:
  New Directions in Quantum Chromodynamics, Kyongju, South Korea, 21--25 June
  1999; 8 pages, 5 figures","AIP Conf.Proc.494:339-346,1999","10.1063/1.1301681","WM-99-116","hep-ph",,"  Hard semiexclusive processes provide an opportunity to design effective
currents to probe specific parton distributions and to probe in leading order
parton distributions that fully inclusive reactions probe only via higher order
corrections. High transverse momentum pion photoproduction is an example of a
such a process. We discuss the perturbative and soft processes that contribute,
and show how regions where perturbative processes dominate can give us the
parton structure information. Polarized initial states are needed to get
information on polarization distributions. Current polarization asymmetry data
is mostly in the soft region. However, with somewhat higher energy, determining
the polarized gluon distribution using hard pion photoproduction appears quite
feasible.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 14:56:27 GMT""}]","2010-12-13"
"hep-ph/9912382","Catherine Bourge","Zhiqing Zhang","New Structure Function Results at Low x and High Q^2 from HERA","8 pages, 6 figures","Nucl.Phys. A675 (2000) 353c-358c","10.1016/S0375-9474(00)00282-7","LAL 99-54","hep-ph",,"  A precise proton structure function F_2 at low x is measured. The data is
interpreted in the framework of QCD with an extraction of gluon density xg. The
charm contribution to F_2 is determined in an extended kinematic range. Neutral
and charged current cross-sections at high Q^2 are also measured and compared
with the Standard Model predictions.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:12:35 GMT""}]","2009-10-31"
"hep-th/9912132","Konstadinos Sfetsos","I. Bakas, A. Brandhuber and K. Sfetsos","Domain walls of gauged supergravity, M-branes, and algebraic curves","46 pages, latex. v2: typos corrected and some references added. v3:
  minor corrections and improvements, references added, to appear in ATMP","Adv.Theor.Math.Phys.3:1657-1719,1999",,"CERN-TH/99-366, NEIP-99-021","hep-th gr-qc",,"  We provide an algebraic classification of all supersymmetric domain wall
solutions of maximal gauged supergravity in four and seven dimensions, in the
presence of non-trivial scalar fields in the coset SL(8,R)/SO(8) and
SL(5,R)/SO(5) respectively. These solutions satisfy first-order equations,
which can be obtained using the method of Bogomol'nyi. From an
eleven-dimensional point of view they correspond to various continuous
distributions of M2- and M5-branes. The Christoffel-Schwarz transformation and
the uniformization of the associated algebraic curves are used in order to
determine the Schrodinger potential for the scalar and graviton fluctuations on
the corresponding backgrounds. In many cases we explicitly solve the
Schrodinger problem by employing techniques of supersymmetric quantum
mechanics. The analysis is parallel to the construction of domain walls of
five-dimensional gauged supergravity, with scalar fields in the coset
SL(6,R)/SO(6), using algebraic curves or continuous distributions of D3-branes
in ten dimensions. In seven dimensions, in particular, our classification of
domain walls is complete for the full scalar sector of gauged supergravity. We
also discuss some general aspects of D-dimensional gravity coupled to scalar
fields in the coset SL(N,R)/SO(N).
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:18:44 GMT""},{""version"":""v2"",""created"":""Wed, 19 Jan 2000 10:13:22 GMT""},{""version"":""v3"",""created"":""Wed, 12 Jul 2000 10:54:53 GMT""}]","2008-11-26"
"hep-th/9912133","Carlos Lozano","I.P. Ennes, C. Lozano, S.G. Naculich, H.J. Schnitzer","Elliptic models and M-theory","52 pages, latex, one eps figure, uses psfig.tex; revised version:
  typos corrected and references added","Nucl.Phys. B576 (2000) 313-346","10.1016/S0550-3213(00)00131-0","BRX-TH-468, HUTP-99/A068, BOW-PH-116","hep-th",,"  We give a unified analysis of four-dimensional elliptic models with N=2
supersymmetry and a simple gauge group, and their relation to M-theory.
Explicit calculations of the Seiberg-Witten curves and the resulting
one-instanton prepotential are presented. The remarkable regularities that
emerge are emphasized. In addition, we calculate the prepotential in the
Coulomb phase of the (asymptotically-free) Sp(2N) gauge theory with N_f
fundamental hypermultiplets of arbitrary mass.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:22:11 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jan 2000 19:19:41 GMT""}]","2009-10-31"
"hep-th/9912134","W. F. Kao","Tzuu-Kang Chyi, Chien-Wen Hwang, W. F. Kao, Guey-Lin Lin, Kin-Wang Ng,
  Jie-Jun Tseng","The weak-field expansion for processes in a homogeneous background
  magnetic field","17 pages, section IIIB added, some typos corrected","Phys.Rev. D62 (2000) 105014","10.1103/PhysRevD.62.105014",,"hep-th hep-ph",,"  The weak-field expansion of the charged fermion propagator under a uniform
magnetic field is studied. Starting from Schwinger's proper-time
representation, we express the charged fermion propagator as an infinite series
corresponding to different Landau levels. This infinite series is then
reorganized according to the powers of the external field strength $B$. For
illustration, we apply this expansion to $\gamma\to \nu\bar{\nu}$ and $\nu\to
\nu\gamma$ decays, which involve charged fermions in the internal loop. The
leading and subleading magnetic-field effects to the above processes are
computed.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:52:35 GMT""},{""version"":""v2"",""created"":""Thu, 25 May 2000 11:26:41 GMT""}]","2009-10-31"
"hep-th/9912135","Gary T. Horowitz","Roberto Emparan, Gary T. Horowitz, and Robert C. Myers","Exact Description of Black Holes on Branes II: Comparison with BTZ Black
  Holes and Black Strings","30 pages","JHEP 0001 (2000) 021","10.1088/1126-6708/2000/01/021",,"hep-th gr-qc",,"  We extend our recent discussion of four-dimensional black holes bound to a
two-brane to include a negative cosmological constant on the brane. We find
that for large masses, the solutions are precisely BTZ black holes on the
brane, and BTZ `black strings' in the bulk. For smaller masses, there are
localized black holes which look like BTZ with corrections that fall off
exponentially. We compute when the maximum entropy configuration changes from
the black string to the black hole. We also present exact solutions describing
rotating black holes on two-branes which are either asymptotically flat or
asymptotically $AdS_3$. The mass and angular momentum on the brane agree with
that in the bulk.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 23:18:00 GMT""}]","2009-10-31"
"hep-th/9912136","William E. Brown","William E. Brown, Juan P. Garrahan, Ian I. Kogan and Alex Kovner","Gauge Invariant Variational Approach with Fermions: the Schwinger Model","14 pages, 1 figure","Phys.Rev. D62 (2000) 016004","10.1103/PhysRevD.62.016004","RU99-12-B, OUTP-99-65-P","hep-th",,"  We extend the gauge invariant variational approach of Phys. Rev. D52 (1995)
3719, hep-th/9408081, to theories with fermions. As the simplest example we
consider the massless Schwinger model in 1+1 dimensions. We show that in this
solvable model the simple variational calculation gives exact results.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 01:17:24 GMT""}]","2009-10-31"
"hep-th/9912137","Fotini Markopoulou","Fotini Markopoulou","An insider's guide to quantum causal histories","References added. 6 pages, 3 figures, uses espcrc2.sty. Based on a
  talk delivered at the Quantum Gravity 99 meeting, held in Sardinia, Italy, on
  Sept. 1999","Nucl.Phys.Proc.Suppl. 88 (2000) 308-313","10.1016/S0920-5632(00)00791-X",,"hep-th",,"  A review is given of recent work aimed at constructing a quantum theory of
cosmology in which all observables refer to information measurable by observers
inside the universe. At the classical level the algebra of observables should
be modified to take into account the fact that observers can only give truth
values to observables that have to do with their backwards light cone. The
resulting algebra is a Heyting rather than a Boolean algebra. The complement is
non-trivial and contains information about horizons and topology change.
Representation of such observables quantum mechanically requires a many-Hilbert
space formalism, in which different observers make measurements in different
Hilbert spaces. I describe such a formalism, called ""quantum causal histories"";
examples include causally evolving spin networks and quantum computers.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 09:42:57 GMT""},{""version"":""v2"",""created"":""Mon, 20 Dec 1999 23:30:46 GMT""}]","2009-10-31"
"hep-th/9912138","Andelka Andrasi","A. Andrasi","Renormalization of Wilson Operators in the Light-Cone Gauge","plain tex, 18 pages, 20 figures, revised","Eur.Phys.J.C18:601-612,2001","10.1007/s100520100556","IRB-TH-9/99","hep-th",,"  We test the renormalization of Wilson operators and the Mandelstam-
Leibbrandt gauge in the case when the sides of the loop are parallel to the n,
n* vectors used in the M-L gauge. Graphs which in the Feynman gauge are free of
ultra-violet divergences, in the M-L gauge show double divergences and single
divergences with non-local Si and Ci functions. These non-local functions
cancel out when we add all graphs together and the constraints of gauge
invariance are satisfied. In Appendix C we briefly discuss the problems of the
M-L gauge for loops containing spacelike lines.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:25:40 GMT""},{""version"":""v2"",""created"":""Tue, 13 Mar 2001 09:33:19 GMT""}]","2009-01-07"
"hep-th/9912139","Victor O. Rivelles","Victor O. Rivelles","Holographic Principle and AdS/CFT Correspondence","13 pages. Talk presented at the International Workshop
  ``Supersymmetries and Quantum Symmetries'', held at JINR, Dubna, July 26-31,
  1999. A minor change",,,,"hep-th",,"  According to the holographic principle all information in the bulk of a space
is coded at its border. We will check this statement in three situations
involving the AdS/CFT correspondence. There is a well known equivalence between
the Maxwell-Chern-Simons theory and the self-dual model in 3 dimensions when
the parameters of both theories are related in a given way. We will show that
when this relation holds the corresponding CFT's at the border are the same.
Then we will study scalar fields. There are two quantum theories for the scalar
field in AdS space. The usual prescription of the AdS/CFT correspondence which
takes Dirichlet boundary conditions at the border corresponds to one of the
quantum theories. We will show that changing boundary conditions will allow us
to get the other quantum theory. Finally we consider an Abelian gauge theory in
AdS. We will show that the corresponding CFT is independent of the gauge choice
and that the gauge dependence stays only in the contact terms at the border.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 14:01:54 GMT""},{""version"":""v2"",""created"":""Wed, 22 Dec 1999 14:47:46 GMT""}]","2007-05-23"
"hep-th/9912140","Miguel Vazquez Mozo","G. Arcioni and M.A. Vazquez-Mozo","Thermal effects in perturbative noncommutative gauge theories","15 pages, harvmac. Minor changes with respect to v2. Footnote
  expanded, remark added in Section 3, typos corrected and references added.
  Final version to be published in JHEP","JHEP 0001 (2000) 028","10.1088/1126-6708/2000/01/028","SPIN-1999/31, DFTT-99-66, ITFA-99-41","hep-th",,"  The thermodynamics of gauge theories on the noncommutative plane is studied
in perturbation theory. For U(1) noncommutative Yang-Mills we compute the first
quantum correction to the ideal gas free energy density and study their
behavior in the low and high temperature regimes. Since the noncommutativity
scale effectively cutoff interactions at large distances, the theory is regular
in the infrared. In the case of U(N) noncommutative Yang-Mills we evaluate the
two-loop free energy density and find that it depends on the noncommutativity
parameter through the contribution of non-planar diagrams.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 14:48:23 GMT""},{""version"":""v2"",""created"":""Wed, 22 Dec 1999 19:09:34 GMT""},{""version"":""v3"",""created"":""Wed, 26 Jan 2000 12:43:08 GMT""}]","2009-10-31"
"hep-th/9912141","Branchina","Vincenzo Branchina","Flow Equations for U_k and Z_k","5 pages","Phys.Rev. D62 (2000) 065010","10.1103/PhysRevD.62.065010",,"hep-th",,"  By considering the gradient expansion for the wilsonian effective action S_k
of a single component scalar field theory truncated to the first two terms, the
potential U_k and the kinetic term Z_k, I show that the recent claim that
different expansion of the fluctuation determinant give rise to different
renormalization group equations for Z_k is incorrect. The correct procedure to
derive this equation is presented and the set of coupled differential equations
for U_k and Z_k is definitely established.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:56:06 GMT""}]","2009-10-31"
"hep-th/9912142","Matthew J. Strassler","Matthew J. Strassler (Inst. for Advanced Study)","Confining Phase of Three Dimensional Supersymmetric Quantum
  Electrodynamics","18 pages, 8 figures, uses sprocl.tex. Submitted as a contribution to
  the Yuri Golfand memorial volume",,"10.1142/9789812793850_0017","IASSNS--HEP--99/115","hep-th",,"  Abelian theories in three dimensions can have linearly confining phases as a
result of monopole-instantons, as shown, for SU(2) Yang-Mills theory broken to
its abelian subgroup, by Polyakov. In this article the generalization of this
phase for N=2 supersymmetric abelian theories is identified, using a dual
description. Topologically stable BPS-saturated and unsaturated particle and
string solitons play essential roles. A plasma of chiral monopoles of charge 1
and -1 (along with their antichiral conjugates) are required for a stable
confining vacuum. N=2 SU(2) Yang-Mills theory broken to U(1) lacks this phase
because its chiral monopoles all have the same charge, leading to a runaway
instability. The possibility of analogous confining phases of string theory,
and a dual field theoretic model thereof, are briefly discussed.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:57:33 GMT""}]","2016-11-23"
"math-ph/9912011","Mathieu Dutour","Mathieu Dutour","Bifurcation vers l'etat d'Abrikosov et diagramme des phases","153 pages, these, some errors corrected",,,,"math-ph math.MP",,"  Nous \'etudions dans cette th\`ese la fonctionnelle de Ginzburg-Landau dans
$\R^3$ sur des couples de fonctions $(\phi, \overrightarrow{A})$ qui
v\'erifient des conditions de p\'eriodicit\'e de jauge en $x_3$ et selon un
r\'eseau discret de $(x_1,x_2)$. Nous montrons que le probl\`eme variationnel
est \'equivalent au probl\`eme de la minimisation d'une autre fonctionnelle sur
un tore. Dans le cadre de la d\'emonstration, un fibr\'e vectoriel non trivial
appara\^it. On se limite alors pour la suite \`a une quantification de 1. On
montre ensuite que la fonctionnelle admet un minimum sur l'espace fonctionnel
$H^{1}$ qui v\'erifie un syst\`eme d'\'equations aux d\'eriv\'ees partielles
appel\'e syst\`eme de Ginzburg-Landau. Le minimum est $C^{\infty}$ par
l'ellipticit\'e du syst\`eme d'\'equations de Ginzburg-Landau. On montre qu'il
y a une bifurcation du couple $(0,0)$ pour le champ critique $H_{ext}=k$ o\`u
$k$ est un param\`etre caract\'eristique du syst\`eme. On \'etudie alors la
stabilit\'e de la solution bifurqu\'ee. On \'etudie la d\'ependance de
l'\'energie minimale \`a l'\'egard de la g\'eom\'etrie du tore. Enfin nous
d\'ecrivons toutes les solutions du syst\`eme d'\'equations de Ginzburg-Landau
dans la limite $k$ tend vers l'infini. Dans le dernier chapitre, nous donnons
pour notre mod\`ele la structure du diagramme des phases en pr\'ecisant quelles
r\'egions sont normales, supraconductrices pure, mixte.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 23:46:17 GMT""},{""version"":""v2"",""created"":""Thu, 16 Dec 1999 00:00:14 GMT""},{""version"":""v3"",""created"":""Wed, 27 Sep 2000 07:04:30 GMT""}]","2007-05-23"
"math-ph/9912012",,"G. K\""albermann (Soil and Water department, Faculty of Agriculure,
  Hebrew University, Israel)","Trapping of a model-system for a soliton in a well","Latex format, 2 figures",,,,"math-ph math.MP nucl-th physics.class-ph quant-ph",,"  The nature of the interaction of a soliton with an attractive well is
elucidated using a model of two interacting point particles. The system shows
the existence of trapped states at positive kinetic energy, as well as
reflection by an attractive impurity, as found when a topological soliton
scatters off an attractive well.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:27:55 GMT""}]","2007-05-23"
"math-ph/9912013",,"G. K\""albermann (Soil and Water department, Faculty of Agriculure,
  Hebrew University, Israel)","Decay to bound states of a soliton in a well","Latex format, 5 figures",,,,"math-ph hep-ph hep-th math.MP nucl-th quant-ph",,"  The decay of a soliton in a trapped state inside a well is shown numerically.
Bound states of a kink in an attractive well, both centered and off center are
found. Their stability is studied. Unstable soliton solutions inside a
repulsive barrier are also found.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:54:18 GMT""}]","2007-05-23"
"math/9912120","Vadim E. Levit","Vadim E. Levit and Eugen Mandrescu","Matrices and $\alpha $-Stable Bipartite Graphs","A preliminary version of this paper has been presented at the Tenth
  Haifa Matrix Theory Conference, January 1998, Technion, Haifa, Israel; 16
  pages, 5 figures",,,,"math.CO",,"  A square (0,1)-matrix X of order n > 0 is called fully indecomposable if
there exists no integer k with 0 < k < n, such that X has a k by n-k zero
submatrix. A stable set of a graph G is a subset of pairwise nonadjacent
vertices. The stability number of G, denoted by $\alpha (G)$, is the
cardinality of a maximum stable set in G. A graph is called $\alpha $-stable if
its stability number remains the same upon both the deletion and the addition
of any edge. We show that a connected bipartite graph has exactly two maximum
stable sets that partition its vertex set if and only if its reduced adjacency
matrix is fully indecomposable. We also describe a decomposition structure of
$\alpha $-stable bipartite graphs in terms of their reduced adjacency matrices.
On the base of these findings we obtain both new proofs for a number of
well-known theorems on the structure of matrices due to Brualdi, Marcus and
Minc, Dulmage and Mendelsohn, and some generalizations of these statements.
Several new results on $\alpha $-stable bipartite graphs and their
corresponding reduced adjacency matrices are presented, as well. Two kinds of
matrix product are also considered (namely, Boolean product and Kronecker
product), and their corresponding graph operations. As a consequence, we obtain
a strengthening of one Lewin's theorem claiming that the product of two fully
indecomposable matrices is a fully indecomposable matrix.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:02:41 GMT""}]","2007-05-23"
"math/9912121","Hideo Mitsuhashi","Hideo Mitsuhashi","The q-analogue of the alternating groups and its representations","23 pages",,,,"math.QA math.RT",,"  We construct a subalgebra of the Hecke algebra of type A. This is a
generalization of the group algebra of the alternating groups. All the
equivalent classes of irreducible representations of the subalgebra and the
q-analogue of the branching rule between symmetric groups and alternating
groups is obtained.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 17:24:59 GMT""}]","2007-05-23"
"math/9912122","Siqi Fu","Siqi Fu and Emil J. Straube","Compactness in the d-bar-Neumann problem",,,,,"math.CV math.AP",,"  This paper surveys the theory of compactness of the d-bar-Neumann problem. It
also contains several results which improve upon what was previously known.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:52:11 GMT""}]","2007-05-23"
"math/9912123","Zhongmin Shen","Zhongmin Shen and Jyh-Yang Wu","Curvature, Diameter and Bounded Betti Numbers","10 pages, AMStex",,,,"math.DG math.GT",,"  Two main theorems are proved in this paper.
  Theorem 1: There is a constant C(n, D) depending only on n and D such that
for a closed Riemannian n-manifold satisfying Ric > -(n-1) and Diam < D, the
ith bounded Betti number is bounded by C(n, D).
  Here the ith bounded Betti number is defined as the dimension of the image of
the ith bounded cohomology in the ith real cohomology.
  Theorem 2: There are only finitely many isometric isomorphism types of
bounded cohomology groups among closed Riemannian n-manifolds satisfying K > -1
and Diam < D.
  The dimension of the ith bounded cohomology might be infinite. It follows
from Theorem 2 that if a closed Riemannian n-manifold satiafies K > -1 and Diam
< D, then the dimension of the ith bounded cohomology is either infinite or
bounded by a constant C(n, D) depending only on n and D.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:06:26 GMT""}]","2007-05-23"
"math/9912124","Alexei Borodin","Alexei Borodin and Grigori Olshanski","Harmonic functions on multiplicative graphs and interpolation
  polynomials","AMSTeX, 35 pages","Electronic Journal of Combinatorics 7 (2000), paper R28",,,"math.CO math.RT",,"  We construct examples of nonnegative harmonic functions on certain graded
graphs: the Young lattice and its generalizations. Such functions first emerged
in harmonic analysis on the infinite symmetric group. Our method relies on
multivariate interpolation polynomials associated with Schur's S and P
functions and with Jack symmetric functions. As a by-product, we compute
certain Selberg-type integrals.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:30:47 GMT""}]","2016-09-07"
"math/9912125","Sergey Fomin","Sergey Fomin and Michael Shapiro","Stratified spaces formed by totally positive varieties","17 pages",,,,"math.CO math.AG math.AT",,"  By a theorem of A.Bj\""orner, for every interval $[u,v]$ in the Bruhat order
of a Coxeter group $W$, there exists a stratified space whose strata are
labeled by the elements of $[u,v]$, adjacency is described by the Bruhat order,
and each closed stratum (resp., the boundary of each stratum) has the homology
of a ball (resp., of a sphere). Answering a question posed by Bj\""orner, we
suggest a natural geometric realization of these stratified spaces for a Weyl
group $W$ of a semisimple Lie group $G$, and prove its validity in the case of
the symmetric group. Our stratified spaces arise as links in the Bruhat
decomposition of the totally nonnegative part of the unipotent radical of $G$.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:59:14 GMT""}]","2007-05-23"
"math/9912126","Sergey Fomin","Thomas Britz and Sergey Fomin","Finite posets and Ferrers shapes","33 pages",,,,"math.CO",,"  A survey on the Greene-Kleitman correspondence, with complete proofs, many of
which are new.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 21:05:35 GMT""}]","2007-05-23"
"math/9912127","Brian Treadway","Palle E. T. Jorgensen and Steen Pedersen","Orthogonal harmonic analysis and scaling of fractal measures","English with French summary","C. R. Acad. Sci. Paris Ser. I Math. 326 (1998), 301--306","10.1016/S0764-4442(97)82984-9",,"math.FA",,"  We show that certain iteration systems lead to fractal measures admitting
exact orthogonal harmonic analysis.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 21:26:03 GMT""}]","2007-05-23"
"math/9912128","Sergey Fomin","Sergey Fomin and Andrei Zelevinsky","Total positivity: tests and parametrizations","20 pages, with color figures",,,"formerly math.LA/9912128","math.RA math.CO math.RT",,"  An introduction to total positivity (TP), with the emphasis on efficient TP
criteria and parametrizations of TP matrices. Intended for general mathematical
audience.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 21:59:06 GMT""}]","2007-05-23"
"math/9912129","Brian Treadway","Ola Bratteli, David E. Evans and Palle E. T. Jorgensen","Compactly supported wavelets and representations of the Cuntz relations","AMS-LaTeX; 29 pages, 6 figures incorporating 23 EPS diagrams and 1
  LaTeX picture","Applied and Computational Harmonic Analysis 8 (2000), 166--196.","10.1006/acha.2000.0283",,"math.FA",,"  We study the harmonic analysis of the quadrature mirror filters coming from
multiresolution wavelet analysis of compactly supported wavelets. It is known
that those of these wavelets that come from third order polynomials are
parametrized by the circle, and we compute that the corresponding filters
generate irreducible mutually disjoint representations of of the Cuntz algebra
$ O_{2} $ except at two points on the circle. One of the two exceptional points
corresponds to the Haar wavelet and the other is the unique point on the circle
where the father function defines a tight frame which is not an orthonormal
basis. At these two points the representation decomposes into two and three
mutually disjoint irreducible representations, respectively, and the two
representations at the Haar point are each unitarily equivalent to one of the
three representations at the other singular point.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 21:59:22 GMT""}]","2007-05-23"
"math/9912130","Sergey Fomin","Sergey Fomin","Lecture notes on quantum cohomology of the flag manifold","9 pages",,,,"math.QA math.AG math.CO",,"  This is an exposition of some recent developments related to the object in
the title, particularly the combinatorial computation of the (genus 0)
Gromov-Witten invariants of the flag manifold and the quadratic algebra
approach. The notes are largely based on my joint papers with S.Gelfand,
A.N.Kirillov, and A.Postnikov. This is by no means an exhaustive survey of the
subject, but rather a casual introduction to its combinatorial aspects.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:08:19 GMT""}]","2007-05-23"
"math/9912131","Brian Treadway","Palle E. T. Jorgensen and Steen Pedersen","Spectral pairs in Cartesian coordinates","AMS-LaTeX; 18 pages, 1 figure comprising 2 EPS diagrams; revision
  provides the graphics files for these figures (no other changes)","Journal of Fourier Analysis and Applications 5 (1999), 289--306",,,"math.FA",,"  Let $ \Omega \subset R^d $ have finite positive Lebesgue measure, and let $
\mathcal{L}^{2}(\Omega) $ be the corresponding Hilbert space of $
\mathcal{L}^{2} $-functions on $ \Omega $. We shall consider the exponential
functions $ e_{\lambda} $ on $ \Omega $ given by $
e_{\lambda}(x)=e^{i2\pi\lambda x} $. If these functions form an orthogonal
basis for $ \mathcal{L}^{2}(\Omega) $, when $ \lambda $ ranges over some subset
$ \Lambda $ in $ R^d $, then we say that $ (\Omega,\Lambda) $ is a spectral
pair, and that $ \Lambda $ is a spectrum. We conjecture that $ (\Omega,\Lambda)
$ is a spectral pair if and only if the translates of some set $ \Omega' $ by
the vectors of $ \Lambda $ tile $ R^d $. In the special case of $ \Omega=I^d $,
the $ d $-dimensional unit cube, we prove this conjecture, with $ \Omega'=I^d
$, for $ d \leq 3 $, describing all the tilings by $ I^d $, and for all $ d $
when $ \Lambda $ is a discrete periodic set. In an appendix we generalize the
notion of spectral pair to measures on a locally compact abelian group and its
dual.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:20:09 GMT""},{""version"":""v2"",""created"":""Thu, 28 Jun 2001 17:19:11 GMT""}]","2007-05-23"
"math/9912132","Brian Treadway","Palle E. T. Jorgensen","A geometric approach to the cascade approximation operator for wavelets","AMS-LaTeX; 47 pages, 3 tables, 2 figures comprising 3 EPS diagrams","Integral Equations Operator Theory 35 (1999), 125-171",,,"math.FA",,"  This paper is devoted to an approximation problem for operators in Hilbert
space, that appears when one tries to study geometrically the cascade algorithm
in wavelet theory. Let $ H $ be a Hilbert space, and let $ \pi $ be a
representation of $ L^\infty(T) $ on $ H $. Let $ R $ be a positive operator in
$ L^\infty(T) $ such that $ R(1)=1 $, where $ 1 $ denotes the constant function
$ 1 $. We study operators $ M $ on $ H $ (bounded, but non-contractive) such
that $ \pi(f)M=M\pi(f(z^2)) $ and $ M^* \pi(f)M=\pi(R^* f) $, $ f \in L^\infty
(T) $, where the $ * $ refers to Hilbert space adjoint. We give a complete
orthogonal expansion of $ H $ which reduces $ \pi $ such that $ M $ acts as a
shift on one part, and the residual part is $ H^{(\infty)}=\bigcap_n[M^n H] $,
where $ [M^n H] $ is the closure of the range of $ M^n $. The shift part is
present, we show, if and only if $ \ker(M^*) \neq \{0\} $. We apply the
operator-theoretic results to the refinement operator (or cascade algorithm)
from wavelet theory. Using the representation $ \pi $, we show that, for this
wavelet operator $ M $, the components in the decomposition are unitarily, and
canonically, equivalent to spaces $ L^2(E_n) \subset L^2(R) $, where $ E_n
\subset R $, $ n=0,1,2,...,\infty $, are measurable subsets which form a tiling
of $ R $; i.e., the union is $ R $ up to zero measure, and pairwise
intersections of different $ E_n $'s have measure zero. We prove two results on
the convergence of the cascade algorithm, and identify singular vectors for the
starting point of the algorithm.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:46:19 GMT""}]","2007-05-23"
"math/9912133","Brian Treadway","Ola Bratteli and Palle E. T. Jorgensen","Convergence of the cascade algorithm at irregular scaling functions","AMS-LaTeX; 38 pages, 10 figures comprising 42 EPS diagrams; some
  diagrams are bitmapped at 75 dots per inch; for full-resolution bitmaps see
  ftp://ftp.math.uiowa.edu/pub/jorgen/convcasc/","The Functional and Harmonic Analysis of Wavelets and Frames (San
  Antonio, 1999) (L.W. Baggett and D.R. Larson, eds.), Contemp. Math., vol.
  247, American Mathematical Society, Providence, 1999, pp. 93--130",,,"math.FA",,"  The spectral properties of the Ruelle transfer operator which arises from a
given polynomial wavelet filter are related to the convergence question for the
cascade algorithm for approximation of the corresponding wavelet scaling
function.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 03:26:12 GMT""}]","2007-05-23"
"math/9912134","Eli Berger","Ron Aharoni, Eli Berger, Ran Ziv","A tree version of Konig's theorem","6 pages, no figures. Submitted to Combinatorica. Minor mistakes in
  the proofs in v1 were corrected",,,,"math.CO",,"  Konig's theorem states that the covering number and the matching number of a
bipartite graph are equal. We prove a generalisation of this result, in which
each point in one side of the graph is replaced by a subtree of a given tree.
The proof uses a recent extension of Hall's theorem to families of hypergraphs,
by the first author and P. Haxell.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 12:09:55 GMT""},{""version"":""v2"",""created"":""Mon, 10 Jan 2000 13:03:51 GMT""}]","2007-05-23"
