"adap-org/9912001","J. Doyne Farmer","J. Doyne Farmer and Andrew W. Lo","Frontiers of finance: Evolution and efficient markets","2 pages","Proceedings of the National Academy of Science, Vol . 96, p.
  9991-9992","10.1073/pnas.96.18.9991",,"adap-org nlin.AO",,"  In this review article we explore several recent advances in the quantitative
modeling of financial markets. We begin with the Efficient Markets Hypothesis
and describe how this controversial idea has stimulated a number of new
directions of research, some focusing on more elaborate mathematical models
that are captable of rationalizing the empirical facrts, others taking a
completely different different tack in rejecting rationality altogether. One of
the most promising directions is to view financial markets from a biological
perspective and, specifically, with an evolutionary framework in which markets,
instruments, institutions, and investors interact and evolve dynamically
according to the ""law"" of economic selection. Under this view, financial agents
compete and adapt, but they do not necessarily do so in an optimal fashion.
Evolutionary and ecological models of financial markets is truly a new frontier
whose exploration has just begun.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:11:21 GMT""}]","2009-10-31"
"math/9912070","Paolo Cascini","Paolo Cascini","On a compactification of the moduli space of the rational normal curves","15 pages, ams-latex",,,,"math.AG",,"  For any odd $n$, we describe a smooth minimal (i.e. obtained by adding an
irreducible hypersurface) compactification $\tilde S_n$ of the quasi-projective
homogeneous variety $S_{n}=PGL(n+1)/SL(2)$ that parameterizes the rational
normal curves in $P^n$. We show that $\tilde S_{n}$ is isomorphic to a
component of the Maruyama scheme of the semi-stable sheaves on $P^n$ of rank
$n$ and Chern polynomial $(1+t)^{n+2}$ and we compute its Betti numbers.
  In particular $\tilde S_{3}$ is isomorphic to the variety of nets of quadrics
defining twisted cubics, studied by G. Ellinsgrud, R. Piene and S. Str{\o}mme
(Space curves, Proc. Conf., LNM 1266).
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 08:54:49 GMT""},{""version"":""v2"",""created"":""Tue, 11 Apr 2000 18:02:40 GMT""},{""version"":""v3"",""created"":""Thu, 14 Sep 2000 21:19:22 GMT""}]","2007-05-23"
"math/9912071","Michael Belolipetsky","Michael Belolipetsky","On arithmetic Kleinian groups generated by three half-turns","13 pages, 6 figures",,,,"math.MG",,"  We study a generalization of the Fuchsian triangle groups to the hyperbolic
3-space, namely, the groups generated by half-turns in three hyperbolic lines.
The role of the hyperbolic triangles is now played by the right-angled
hexagons. This class of groups is very close to the arbitrary 2-generator
Kleinian groups but appear to be much more geometric by the construction. The
main idea of our research is to make use of the geometric properties of the
generalized triangle groups to study 2-generator arithmetic Kleinian groups. In
this paper we start with a parameterization for the generalized triangle groups
by three complex numbers. Then we give a matrix representation and introduce an
arithmeticity test for the group in terms of the given parameters. Finally, we
apply the arithmeticity test to prove the finiteness of the number of the
arithmetic groups in a partial case when all three parameters are equal. For
this partial case we also describe the parameters of the non cocompact
arithmetic triangle groups and present the singular sets of the corresponding
factor-orbifolds.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:09:49 GMT""}]","2007-05-23"
"math/9912072","Alexandru Dimca","A. Dimca and A. N\'emethi","On the monodromy of complex polynomials","11 pages",,,,"math.AG math.AT",,"  We show that the monodromy operator at infinity plus the decomposition of the
homology given by the vanishing cycles completely determine the homology
monodromy representation of any complex polynomial.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:38:23 GMT""},{""version"":""v2"",""created"":""Fri, 21 Jan 2000 10:43:07 GMT""}]","2007-05-23"
"nucl-ex/9912005","Steven Dytman","S.A. Dytman","Meson Production Experiments with Electromagnetic Beams using CLAS","6 pages incl. figures, invited talk at Meson Nucleon Conference
  (MENU99); Zuoz, Switz, Aug. 1999","PiN Newslett.15:59-64,1999",,,"nucl-ex",,"  The CEBAF Large Acceptnace Spectrometer (CLAS) has been taking production
data since February, 1998. It takes data for many reactions simultaneously with
moderate resolution. Data has been taken for a variety of conditions with
polarized and unpolarized beam and target. Preliminary results of the initial
experiments run by the CLAS collaboration are shown. The connection with the
study of N* resonances is emphasized.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 20:55:35 GMT""}]","2014-11-18"
"nucl-ex/9912006","Ulicny Marcel, Mgr.","M. Betigeri, J. Bojowald, A. Budzanowski, A. Chatterjee, M.Drochner,
  J. Ernst, S. Foertsch, L. Freindl, D.Frekers, W. Garske, K. Grewer, A.
  Hamacher, S. Igel, J. Ilieva, R. Jahn, L. Jarczyk, G. Kemmerling, K. Kilian,
  S. Kliczewski, W. Klimala, D. Kolev, T. Kutsarova, J. Lieb, G. Lippert, H.
  Machner, A. Magiera, H.Nann, L.Pentchev, H. S. Plendl, D. Protic, B. Razen,
  P. von Rossen, B. R. Roy, R. Siudak, J. Smyrski, A. Strzalkowski, R. Tsenov,
  P. A. Zolnierczuk, K. Zwoll","Measurement of p + d -> 3He + eta in S(11) Resonance","8 pages, 2 figures, corrected typos in header","Phys.Lett.B472:267-272,2000","10.1016/S0370-2693(99)01456-2",,"nucl-ex",,"  We have measured the reaction p + d -> 3He + eta at a proton beam energy of
980 MeV, which is 88.5 MeV above threshold using the new ``germanium wall''
detector system. A missing--mass resolution of the detector system of 2.6% was
achieved. The angular distribution of the meson is forward peaked. We found a
total cross section of (573 +- 83(stat.) +- 69(syst.))nb. The excitation
function for the present reaction is described by a Breit Wigner form with
parameters from photoproduction.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 18:13:56 GMT""},{""version"":""v2"",""created"":""Thu, 9 Dec 1999 18:25:50 GMT""}]","2019-08-17"
"nucl-th/9912018","V. Dmitrasinovic","V. Dmitra\v{s}inovi\'c","Positivity restrictions in polarized coincidence electronuclear
  scattering","23 pages, 1 eps figure","Phys.Rev.C51:1528,1995","10.1103/PhysRevC.51.1528",,"nucl-th",,"  We make a systematic examination of the role played by the restriction that
the cross section in polarized coincidence electronuclear processes must be
positive. The necessary formalism for unpolarized scattering structure
functions is developed within two frameworks: (i) the response tensor method;
and (ii) the Jacob-Wick method. Equivalence of the two methods is demonstrated
for unpolarized scattering, and then the simpler Jacob-Wick method is applied
to the polarized pseudoscalar electroproduction off a nucleon. We derive three
known and eight new inequalities among the polarized target structure
functions, as well as eleven new polarized ejectile structure functions
inequalities. We also provide rules for this method to be used in deuteron
two-body electrodisintegration in conjunction with the results published in
Phys. Rev. C 40, 2479 (1989).
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:48:29 GMT""}]","2016-08-15"
"nucl-th/9912019","Waldemar Neubert","W. Neubert (1) and A. S. Botvina (2) ((1) FZ Rossendorf/Dresden,
  Germany, (2) INFN Bologna, Italy and INR Moscow, Russia)","What is the Physics behind the 3He-4He Anomaly ?","5 pages, 4 figures, accepted at Eur. Phys. J","Eur.Phys.J. A7 (2000) 101-106","10.1007/s100500050016","FZR registration no. 2223","nucl-th",,"  We show that coalescence of nucleons emitted prior to thermalization in
highly excited nuclei can explain the anomaly of kinetic energies of helium
clusters. A new coalescence algorithm has been included into the statistical
approach to nuclear reactions formerly used to describe intermediate mass
fragment production.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 00:12:14 GMT""},{""version"":""v2"",""created"":""Fri, 10 Dec 1999 14:57:59 GMT""}]","2009-10-31"
"nucl-th/9912020","Andras Tibor Kruppa","A.T. Kruppa (1), K. Varga (1,2), J. Revai (3) ((1)Institute of Nuclear
  Research of the Hungarian Academy of Sciences, Debrecen, Hungary (2) Physics
  Division, Argonne National Laboratory, Argonne, USA (3) KFKI Research
  Institute for Particle and Nuclear Physics, Budapest, Hungary)","Local realizations of contact interactions in two- and three-body
  problems","submitted to Phys. Rev. C","Phys.Rev. C63 (2001) 064301","10.1103/PhysRevC.63.064301",,"nucl-th",,"  Mathematically rigorous theory of the two-body contact interaction in three
dimension is reviewed. Local potential realizations of this proper contact
interaction are given in terms of Poschl-Teller, exponential and square-well
potentials. Three body calculation is carried out for the halo nucleus 11Li
using adequately represented contact interaction.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 15:58:29 GMT""}]","2009-10-31"
"physics/9912018","Hrachya Nersisyan","H.B.Nersisyan, M.Walter, and G.Zwicknagel","Stopping of ion beam in a temperature anisotropic magnetized plasma","28 pages, 11 figures, REVTEX4",,,,"physics.plasm-ph",,"  Using the dielectric theory for a weakly coupled plasma we investigate the
stopping power of the ion in a temperature anisotropic magnetized electron
plasma. The analysis is based on the assumption that the energy variation of
the ion is much less than its kinetic energy. The obtained general expression
for stopping power is analyzed for weak and strong magnetic fields (i.e., for
the electron cyclotron frequency less than and greater than the plasma
frequency), and for low and high ion velocities. It is found that the friction
coefficient contains, in addition to the usual velocity independent friction
coefficient, an anomulous term which diverges logarithmically as the projectile
velocity approaches zero. The physical origin of this anomulous term is the
coupling between the cyclotron motion of the electrons and the long-wave
length, low-frequency fluctuations produced by the projectile ion.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:18:25 GMT""},{""version"":""v2"",""created"":""Thu, 9 Dec 1999 11:07:43 GMT""}]","2007-05-23"
"physics/9912019","Jens Ortner","J. Ortner, I. Valuev, and W.Ebeling","Electric microfield distribution in two-component plasmas. Theory and
  Simulations","24 pages, 5 figures, to be published in Contr. to Plasma Physics",,"10.1002/1521-3986(200009)40:5/6<555::AID-CTPP555>3.3.CO;2-X",,"physics.plasm-ph",,"  The distribution of the electric microfield at a charged particle moving in a
two-component plasma is calculated. The theoretical approximations are obtained
via the parameter integration technique and using the screened pair
approximation for the generalized radial distribution function. It is shown
that the two-component plasma microfield distribution shows a larger
probability of high microfield values than the corresponding distribution of
the commonly used OCP model. The theory is checked by quasiclassical
molecular-dynamics simulations. For the simulations a corrected Kelbg
pseudopotential has been used.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 10:58:16 GMT""}]","2015-06-26"
"physics/9912020","Assen Kyuldjiev","Assen Kyuldjiev","Classical approaches to Higgs mechanism",,,,,"physics.gen-ph",,"  The standard approach to Higgs mechanism is based on the existence of unitary
gauge but, unfortunately, it does not come from a coordinate change in the
configuration space of the initial model and actually defines a new dynamical
system. So, it is a questionable approach to the problem but it is shown here
that the final result could still make sense as a Marsden-Weinstein reduced
system. (This reduction can be seen as completely analogous to the procedure of
obtaining the ""centrifugal"" potential in the classical Kepler problem.) It is
shown that in the standard linearization approximation of the Coulomb gauged
Higgs model geometrical constraint theory offers an explanation of the Higgs
mechanism because solving of the Gauss law constraint leads to different
physical submanifolds which are not preserved by the action of the (broken)
global U(1) group.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 11:46:49 GMT""}]","2007-05-23"
"physics/9912021","Alexei Krouglov","Alexei Krouglov","Mathematical Model of Attraction and Repulsion Forces","Written in Microsoft Word, 8 pages",,,"MX-AK 9903","physics.gen-ph",,"  Here I introduce the model in an attempt to describe the underlying reasons
of attraction and repulsion forces between two physical bodies. Both electrical
and gravitational forces are considered. Results are based on the technique
developed in the Dual Time-Space Model of Wave Propagation.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:28:00 GMT""}]","2007-05-23"
"quant-ph/9912038","Shao-Ming Fei","Sergio Albeverio, Shao-Ming Fei","A Remark on the Optimal Cloning of An N-Level Quantum System","8 pages, Latex","Eur.Phys.J. B14 (2000) 669-672","10.1007/s100510051077",,"quant-ph cond-mat hep-th",,"  We study quantum cloning machines (QCM) that act on an unknown N-level
quantum state and make M copies. We give a formula for the maximum of the
fidelity of cloning and exhibit the unitary transformations that realize this
optimal fidelity. We also extend the results to treat the case of M copies from
$N^\prime$ ($M>N^\prime$) identical N-level quantum systems.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 17:38:02 GMT""}]","2009-10-31"
"quant-ph/9912039","Benjamin Schumacher","N. Linden (1), S. Popescu (1), B. Schumacher (2), M. Westmoreland (3)
  ((1) University of Bristol, (2) Kenyon College, (3) Denison University)","Reversibility of local transformations of multiparticle entanglement","5 pages, RevTeX (no figures)",,,,"quant-ph",,"  We consider the transformation of multisystem entangled states by local
quantum operations and classical communication. We show that, for any
reversible transformation, the relative entropy of entanglement for two parties
must remain constant. This shows, for example, that it is not possible to
convert 2N three party GHZ states into 3N singlets, even in an asymptotic
sense. Thus there is true three-party non-locality (i.e., not all three-party
entanglement is equivalent to two-party entanglement). Our results also allow
us to make {\em quantitative} statements about concentrating multi-particle
entanglement. Finally, we show that there is true n-party entanglement for all
n.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:40:29 GMT""}]","2007-05-23"
"quant-ph/9912040","Seth Lloyd","Seth Lloyd (MIT), Benjamin Rahn (Harvard), Charlene Ahn (Caltech)","Robust quantum computation by simulation","8 pages, TeX",,,,"quant-ph",,"  Simulation of quantum systems that provide intrinsically fault-tolerant
quantum computation is shown to preserve fault tolerance. Errors committed in
the course of simulation are eliminated by the natural error-correcting
features of the systems simulated. Two examples are explored, toric codes and
non-abelian anyons. The latter is shown to provide universal robust quantum
computation via simulation.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:38:52 GMT""}]","2007-05-23"
"quant-ph/9912041","Benni Reznik","Yakir Aharonov and Benni Reznik","Local/Non-Local Complementarity in Topological Effects","4 pages","Phys. Rev. Lett. 84, 4790 (2000).","10.1103/PhysRevLett.84.4790",,"quant-ph",,"  In certain topological effects the accumulation of a quantum phase shift is
accompanied by a local observable effect. We show that such effects manifest a
complementarity between non-local and local attributes of the topology, which
is reminiscent but yet different from the usual wave-particle complementarity.
This complementarity is not a consequence of non-commutativity, rather it is
due to the non-canonical nature of the observables. We suggest that a
local/non-local complementarity is a general feature of topological effects
that are ``dual'' to the AB effect.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 09:21:33 GMT""}]","2009-10-31"
"quant-ph/9912042",,"G. K\""albermann (Soil and Water department, Faculty of Agriculture,
  Israel)","Wave packet scattering from an attractive well","Final version, Journal of Physics A, to be published","J.Phys.A34:3841-3858,2001","10.1088/0305-4470/34/18/312",,"quant-ph nucl-th",,"  Wave packet scattering off an attractive well is investigated in two spatial
dimensions numerically. The results confirm what was found previously for the
one dimensional case. The wave scattered at large angles is a polychotomous
(multiple peak) coherent train. Large angle scattering is extremely important
for low impinging velocities and at all impact parameters. The effect
disappears for packets more extended than the well. Experiments to detect the
polychotomous behavior are suggested.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 10:52:45 GMT""},{""version"":""v2"",""created"":""Mon, 19 Mar 2001 08:05:15 GMT""}]","2008-11-26"
"quant-ph/9912043",,"M.Genovese, C. Novero","Quantum non-demolition (QND) modulation of quantum interference","accepted for publication","Phys. Rev. A 61 032102 (2000)","10.1103/PhysRevA.61.032102","IEN 1999","quant-ph physics.optics",,"  We propose an experiment where quantum interference between two different
paths is modulated by means of a QND measurement on one or both the arm of the
interferometer. The QND measurement is achieved in a Kerr cell. We illustrate a
scheme for the realisation of this experiment and some further developments.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 09:44:39 GMT""}]","2009-10-31"
"quant-ph/9912044","Richard A. Mould","Richard A Mould","A defense of Hellwig-Kraus reductions","10 pages. 3 figures",,,,"quant-ph",,"  Aharonov and Albert analyze a thought experiment which they believe shows
that quantum mechanical state reductions occur along temporal hypersurfaces in
Minkowski space. They conclude that the covariant state reduction theory of
Hellwig and Kraus does not apply. In Part I of this paper we disagree with this
interpretation of the A-A experiment, and show the adequacy of the H-K theory.
In Part II we examine the belief that H-K reductions produce self contradicting
causal loops, and/or give rise to absurd boundary conditions. These objections
to the theory are shown to be unfounded.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:01:31 GMT""}]","2009-09-25"
"quant-ph/9912045","M. Dima","M. Dima","Quantum Particle-Trajectories and Geometric Phase","4 pages","published in JETP Lett. 72(11) p. 785 (Dec. 10 2000)","10.1134/1.1348476","WUD 99-47","quant-ph",,"  ""Particle""-trajectories are defined as integrable $dx_\mu dp^\mu = 0$ paths
in projective space.
  Quantum states evolving on such trajectories, open or closed, do not
delocalise in $(x, p)$ projection, the phase associated with the trajectories
being related to the geometric (Berry) phase and the Classical Mechanics
action. High Energy Physics properties of states evolving on
""particle""-trajectories are discussed.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 15:23:43 GMT""},{""version"":""v10"",""created"":""Fri, 18 May 2001 17:54:22 GMT""},{""version"":""v11"",""created"":""Mon, 10 Nov 2003 20:41:14 GMT""},{""version"":""v2"",""created"":""Mon, 17 Jan 2000 13:58:44 GMT""},{""version"":""v3"",""created"":""Tue, 31 Oct 2000 23:56:43 GMT""},{""version"":""v4"",""created"":""Wed, 1 Nov 2000 19:59:42 GMT""},{""version"":""v5"",""created"":""Thu, 2 Nov 2000 22:04:02 GMT""},{""version"":""v6"",""created"":""Fri, 10 Nov 2000 19:52:54 GMT""},{""version"":""v7"",""created"":""Sat, 11 Nov 2000 01:33:50 GMT""},{""version"":""v8"",""created"":""Wed, 29 Nov 2000 20:28:56 GMT""},{""version"":""v9"",""created"":""Mon, 9 Apr 2001 16:17:56 GMT""}]","2009-10-31"
