"astro-ph/9912046","Jerome Martin","Philippe Brax and Jerome Martin","The Robustness of Quintessence","16 pages, 7 figures","Phys.Rev. D61 (2000) 103502","10.1103/PhysRevD.61.103502","t99/075","astro-ph gr-qc hep-ph hep-th",,"  Recent observations seem to suggest that our Universe is accelerating
implying that it is dominated by a fluid whose equation of state is negative.
Quintessence is a possible explanation. In particular, the concept of tracking
solutions permits to adress the fine-tuning and coincidence problems. We study
this proposal in the simplest case of an inverse power potential and
investigate its robustness to corrections. We show that quintessence is not
affected by the one-loop quantum corrections. In the supersymmetric case where
the quintessential potential is motivated by non-perturbative effects in gauge
theories, we consider the curvature effects and the K\""ahler corrections. We
find that the curvature effects are negligible while the K\""ahler corrections
modify the early evolution of the quintessence field. Finally we study the
supergravity corrections and show that they must be taken into account as
$Q\approx m_{\rm Pl}$ at small red-shifts. We discuss simple supergravity
models exhibiting the quintessential behaviour. In particular, we propose a
model where the scalar potential is given by $V(Q)=\frac{\Lambda^{4+\alpha
}}{Q^{\alpha}}e^{\frac{\kappa}{2}Q^2}$. We argue that the fine-tuning problem
can be overcome if $\alpha \ge 11$. This model leads to $\omega_Q\approx -0.82$
for $\Omega_{\rm m}\approx 0.3$ which is in good agreement with the presently
available data.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:18:41 GMT""}]","2009-10-31"
"hep-th/9912023","Yves Brihaye","Y. Brihaye, F. Grard, S. Hoorelbeke","Gravitating dyons and the Lue-Weinberg bifurcation","RevTeX, 6 pages, 8 figures","Phys.Rev. D62 (2000) 044013","10.1103/PhysRevD.62.044013",,"hep-th",,"  Gravitating t'Hooft-Polyakov magnetic monopoles can be constructed when
coupling the Georgi-Glashow model to gravitation. For a given value of the
Higgs boson mass, these gravitating solitons exist up to a critical value of
the ratio of the vector meson mass to the Planck mass. The critical solution is
characterized by a degenerate horizon of the metric. As pointed out recently by
Lue and Weinberg, two types of critical solutions can occur, depending on the
value of the Higgs boson mass. Here we investigate this transition for dyons
and show that the Lue and Weinberg phenomenon is favorized by the presence of
the electric-charge degree of freedom.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 15:08:43 GMT""}]","2009-10-31"
"hep-th/9912024","Marco Cavagli\`a","Marco Cavaglia, Carlo Ungarelli","Quantum gravity corrections to the Schwarzschild mass","18 pages, 8 figures, LaTeX2e, uses epsfig package, accepted for
  publication in Phys. Rev. D","Phys.Rev.D61:064019,2000","10.1103/PhysRevD.61.064019",,"hep-th gr-qc",,"  Vacuum spherically symmetric Einstein gravity in $N\ge 4$ dimensions can be
cast in a two-dimensional conformal nonlinear sigma model form by first
integrating on the $(N-2)$-dimensional (hyper)sphere and then performing a
canonical transformation. The conformal sigma model is described by two fields
which are related to the Arnowitt-Deser-Misner mass and to the radius of the
$(N-2)$-dimensional (hyper)sphere, respectively. By quantizing perturbatively
the theory we estimate the quantum corrections to the ADM mass of a black hole.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 15:49:18 GMT""}]","2010-11-19"
"math-ph/9912002","David Tumpal Damanik","D. Damanik (Caltech), P. Stollmann (Univ. of Frankfurt)","Multi-scale analysis implies strong dynamical localization","15 pages, 1 figure","Geom. Funct. Anal. 11 (2001), 11-29",,,"math-ph math.MP",,"  We prove that a strong form of dynamical localization follows from a variable
energy multi-scale analysis. This abstract result is applied to a number of
models for wave propagation in disordered media.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 22:10:50 GMT""}]","2014-12-30"
"math/9912014","Diane Maclagan","Diane Maclagan (UC Berkeley), Rekha R. Thomas (Texas A&M)","Combinatorics of the toric Hilbert scheme","26 pages, 2 figures",,,,"math.AG math.CO",,"  The toric Hilbert scheme is a parameter space for all ideals with the same
multi-graded Hilbert function as a given toric ideal. Unlike the classical
Hilbert scheme, it is unknown whether toric Hilbert schemes are connected. We
construct a graph on all the monomial ideals on the scheme, called the flip
graph, and prove that the toric Hilbert scheme is connected if and only if the
flip graph is connected. These graphs are used to exhibit curves in P^4 whose
associated toric Hilbert schemes have arbitrary dimension. We show that the
flip graph maps into the Baues graph of all triangulations of the point
configuration defining the toric ideal. Inspired by the recent discovery of a
disconnected Baues graph, we close with results that suggest the existence of a
disconnected flip graph and hence a disconnected toric Hilbert scheme.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 22:05:31 GMT""}]","2007-05-23"
"math/9912018","Pierre Moussa","S. Marmi (Dipartimento di Matematica `U. Dini', Universita di Firenze,
  Italy), P. Moussa (CEA/Saclay, SPhT, France), J.-C. Yoccoz (Coll\`ege de
  France)","Complex Brjuno functions","tex brc99june29.tex, 2 files, 71 pages [SPhT-T99/066]",,,"SPhT-T99/066","math.CV math.DS math.NT",,"  The Brjuno function arises naturally in the study of one--dimensional
analytic small divisors problems. It belongs to $\hbox{BMO}({\Bbb T}^{1})$ and
it is stable under H\""older perturbations. It is related to the size of Siegel
disks by various rigorous and conjectural results.
  In this work we show how to extend the Brjuno function to a holomorphic
function on ${\Bbb H}/{\Bbb Z}$, the complex Brjuno function. This has an
explicit expression in terms of a series of transformed dilogarithms under the
action of the modular group.
  The extension is obtained using a complex analogue of the continued fraction
expansion of a real number. Since our method is based on the use of
hyperfunctions it applies to less regular functions than the Brjuno function
and it is quite general.
  We prove that the harmonic conjugate of the Brjuno function is bounded. Its
trace on ${\Bbb R}/{\Bbb Z}$ is continuous at all irrational points and has a
jump of $\pi/q$ at each rational point $p/q\in {\Bbb Q}$.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:06:07 GMT""}]","2007-05-23"
"math/9912019","Pierre Moussa","P. Moussa (CEA/Saclay, SPhT, France), S. Marmi (Dipartimento di
  Matematica ""U. Dini"" Universit\`a di Firenze)","Diophantine conditions and real or complex Brjuno functions","latex jura.tex, 6 files, 19 pages Proceedings on `Noise, Oscillators
  and Algebraic Randomness' La Chapelle des Bois, France 1999-04-05 1999-04-10
  April 5-10, 1999 [SPhT-T99/116]",,,"SPhT-T99/116","math.DS math.NT",,"  The continued fraction expansion of the real number $x=a_0+x_0, a_0\in
{\ZZ},$ is given by $0\leq x_n<1, x_{n}^{-1}=a_{n+1}+ x_{n+1}, a_{n+1}\in
{\NN},$ for $n\geq 0.$ The Brjuno function is then
$B(x)=\sum_{n=0}^{\infty}x_0x_1... x_{n-1}\ln(x_n^{-1}),$ and the number $x$
satisfies the Brjuno diophantine condition whenever $B(x)$ is bounded.
Invariant circles under a complex rotation persist when the map is analytically
perturbed, if and only if the rotation number satisfies the Brjuno condition,
and the same holds for invariant circles in the semi-standard and standard maps
cases. In this lecture, we will review some properties of the Brjuno function,
and give some generalisations related to familiar diophantine conditions. The
Brjuno function is highly singular and takes value $+\infty$ on a dense set
including rationals. We present a regularisation leading to a complex function
holomorphic in the upper half plane. Its imaginary part tends to the Brjuno
function on the real axis, the real part remaining bounded, and we also
indicate its transformation under the modular group.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:16:13 GMT""}]","2007-05-23"
"math/9912020","Ken Ito","Ken Ito","The classification of convex orders on affine root systems","30pages, AMS-LaTeX",,,,"math.QA math.RT",,"  We classify all total orders having a certain convex property on the positive
root system of an arbitrary untwisted affine Lie algebra ${\frak g}$. Such
total orders are called convex orders and are used to construct convex bases of
Poincar\'e-Birkhoff-Witt type of the upper triangular subalgebra $U_q^+$ of the
quantized enveloping algebra $U_q({\frak g})$.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 19:32:09 GMT""},{""version"":""v2"",""created"":""Mon, 22 May 2000 20:53:12 GMT""},{""version"":""v3"",""created"":""Fri, 26 May 2000 16:40:46 GMT""}]","2007-05-23"
"math/9912021","Yuji Kodama","L. Casian (Ohio State U.), Y. Kodama (Ohio State U.)","Toda lattice and toric varieties for real split semisimple Lie algebras","49 pages, AMSTeX, Rport no: OSU MRI-99-17, corrected some typos,
  added some references and two figures, sbmitted to PMJ (pmj.cls is used)",,,,"math.SG nlin.SI solv-int",,"  The paper concerns the topology of an isospectral real smooth manifold for
certain Jacobi element associated with real split semisimple Lie algebra. The
manifold is identified as a compact, connected completion of the disconnected
Cartan subgroup of the corresponding Lie group $\tilde G$ which is a disjoint
union of the split Cartan subgroups associated to semisimple portions of Levi
factors of all standard parabolic subgroups of $\tilde G$. The manifold is also
related to the compactified level sets of a generalized Toda lattice equation
defined on the semisimple Lie algebra, which is diffeomorphic to a toric
variety in the flag manifold ${\tilde G}/B$ with Borel subgroup $B$ of $\tilde
G$. We then give a cellular decomposition and the associated chain complex of
the manifold by introducing colored-signed Dynkin diagrams which parametrize
the cells in the decomposition.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:57:43 GMT""},{""version"":""v2"",""created"":""Fri, 6 Apr 2001 18:54:45 GMT""}]","2007-05-23"
"math/9912022","Vadim E. Levit","Vadim E. Levit and Eugen Mandrescu","On $\alpha ^{+}$-Stable Koenig-Egervary Graphs","A preliminary version of this paper has been presented at 9th SIAM
  Conference on Discrete Mathematics, July 1998, the University of Toronto,
  Toronto, Canada; 13 pages, 5 figures",,,,"math.CO",,"  The stability number of a graph G, is the cardinality of a stable set of
maximum size in G. If the stability number of G remains the same upon the
addition of any edge, then G is called $\alpha ^{+}$-stable. G is a
K\""{o}nig-Egervary graph if its order equals the sum of its stability number
and the cardinality of a maximum matching. In this paper we characterize
$\alpha ^{+}$-stable K\""{o}nig-Egervary graphs, generalizing some previously
known results on bipartite graphs and trees. Namely, we prove that a
K\""{o}nig-Egervary graph is $\alpha ^{+}$-stable if and only if either the set
of vertices belonging to no maximum stable set is empty, or the cardinality of
this set equals one, and G has a perfect matching. Using this characterization
we obtain several new findings on general K\""{o}nig-Egervary graphs, for
example, the equality between the cardinalities of the set of vertices
belonging to all maximum stable sets and the set of vertices belonging to no
maximum stable set of G is a necessary and sufficient condition for a
K\""{o}nig-Egervary graph G to have a perfect matching.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 19:07:54 GMT""}]","2007-05-23"
"math/9912024","TienCuong Dinh","Tien-Cuong Dinh","On the commuting polynomial endomorphisms of {C}^2","28 pages",,,,"math.CV math.DS",,"  We determine all couples of commuting polynomial endomorphisms of C^2 that
extends to holomorphic endomorphisms of P^2 and that have disjoint sequences of
iterates.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:35:18 GMT""},{""version"":""v2"",""created"":""Tue, 16 May 2000 08:14:24 GMT""}]","2007-05-23"
"math/9912025","Richard P. Stanley","Richard P. Stanley","Generalized Riffle Shuffles and Quasisymmetric Functions","19 pages: minor corrections and the omission of some material that
  has appeared in more general form elsewhere",,,,"math.CO math.PR",,"  This paper concerns a probability distribution on the symmetric group
generalizing the riffle shuffle of Bayer, Diaconis, and others. There are close
connections with the theory of quasisymmetric and symmetric functions.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 15:37:30 GMT""},{""version"":""v2"",""created"":""Wed, 23 Feb 2000 19:25:47 GMT""},{""version"":""v3"",""created"":""Wed, 28 Mar 2001 22:02:42 GMT""},{""version"":""v4"",""created"":""Fri, 30 Mar 2001 20:35:23 GMT""}]","2007-05-23"
"nucl-th/9912010","Gleb Gribakin","J. C. Berengut, V. V. Flambaum and G. F. Gribakin","Unusual statistics of interference effects in neutron scattering from
  compound nuclei","15 pages, RevTeX, submitted to Phys. Rev. C","Phys.Rev.C62:024610,2000","10.1103/PhysRevC.62.024610",,"nucl-th",,"  We consider interference effects between p-wave resonance scattering
amplitude and background s-wave amplitude in low-energy neutron scattering from
a heavy nucleus which goes through the compound nucleus stage. The first effect
is in the difference between the forward and backward scattering cross
sections. Because of the chaotic nature of the compound states, this effect is
a random variable with zero mean. However, a statistical consideration shows
that the probability distribution of this effect does not obey the standard
central limit theorem. That is, the probability density for the effect averaged
over n resonances does not become a Gaussian distribution with the variance
decreasing as 1/sqrt(n) (``violation'' of the theorem!). We derive the
probability distribution of the effect and the limit distribution of the
average. It is found that the width of this distribution does not decrease with
the increase of n, i.e., fluctuations are not suppressed by averaging.
Furthermore, we consider the correlation between the neutron spin and the
scattering plane and find that this effect, although much smaller, shows
fluctuations which actually increase upon averaging over many measurements.
Limits of the effects due to finite resonance widths are also considered. In
the appendix we present a simple derivation of the limit theorem for the
average of random variables with infinite variances.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 11:53:48 GMT""},{""version"":""v2"",""created"":""Sat, 4 Dec 1999 16:16:59 GMT""}]","2009-08-18"
"physics/9912006","Nguyen Tuan Anh","Nguyen Tuan Anh","The Universe's Evolution","12 pages, 2 figures",,,,"physics.gen-ph",,"  Based on a new theory of causality [1] and its development to the theory of
the Universe [2], we show, in this paper, new ideas for building a theory of
everything.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 07:50:57 GMT""},{""version"":""v2"",""created"":""Mon, 6 Dec 1999 09:34:31 GMT""},{""version"":""v3"",""created"":""Tue, 7 Dec 1999 03:02:35 GMT""},{""version"":""v4"",""created"":""Wed, 15 Dec 1999 03:22:52 GMT""},{""version"":""v5"",""created"":""Sat, 22 Jan 2000 05:21:58 GMT""}]","2009-09-25"
"physics/9912007","Nguyen Tuan Anh","Do Minh Chi","The Equation of Causality","18 pages, 4 figures",,,,"physics.gen-ph",,"  We research the natural causality of the Universe. We find that the equation
of causality provides very good results on physics. That is our first endeavour
and success in describing a quantitative expression of the law of causality.
Hence, our theoretical point suggests ideas to build other laws including the
law of the Universe's evolution.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 09:44:33 GMT""},{""version"":""v2"",""created"":""Tue, 7 Dec 1999 04:17:23 GMT""}]","2007-05-23"
"physics/9912008","Nguyen Tuan Anh","Nguyen Tuan Anh","Causality: The Nature of Everything","18 pages",,,,"physics.gen-ph",,"  We pursue research leading towards the nature of causality in the universe.
We establish the equation of the universe's evolution from the universe-state
function and its series expansion, in which causes and effects connect together
to construct a linked chain of causality. And the equation of causality [1] is
rederived. Therefrom, our theory informs the progress of the universe and,
simulaneously, a law that presents everywhere. Furthermore, we lay some
foundations for a new mathematical phrasing of the movement of physics. That is
the life-like mathematics - a mathematics full of life.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 10:05:14 GMT""},{""version"":""v2"",""created"":""Wed, 15 Dec 1999 03:28:04 GMT""}]","2007-05-23"
"physics/9912009","Jens Eggers","Jens Eggers and Michael P. Brenner","Spinning jets",,,,,"physics.flu-dyn",,"  A fluid jet with a finite angular velocity is subject to centripetal forces
in addition to surface tension forces. At fixed angular momentum, centripetal
forces become large when the radius of the jet goes to zero. We study the
possible importance of this observation for the pinching of a jet within a
slender jet model. A linear stability analysis shows the model to break down at
low viscosities. Numerical simulations indicate that angular momentum is
expelled from the pinch region so fast that it becomes asymptotically
irrelevant in the limit of the neck radius going to zero.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 14:42:09 GMT""}]","2007-05-23"
"quant-ph/9912008","Stefano Mancini","S. Mancini (Dip. Fisica, Univ. Milano, Italy), A. M. Martins (Centro
  de Fisica de Plasmas, IST Lisboa, Portugal), P. Tombesi (Dip. Matematica e
  Fisica, Univ. Camerino, Italy)","Quantum Logic with a Single Trapped Electron","7 Pages, REVTeX, No Figures, To appear in Phys. Rev. A","Phys. Rev. A 61, 012303 (2000).","10.1103/PhysRevA.61.012303",,"quant-ph",,"  We propose the use of a trapped electron to implement quantum logic
operations. The fundamental controlled-NOT gate is shown to be feasible. The
two quantum bits are stored in the internal and external (motional) degrees of
freedom.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:02:12 GMT""}]","2009-10-31"
"quant-ph/9912009","Hoi-Kwong Lo","Hoi-Kwong Lo (MagiQ Technologies, Inc., New York, New York)","Classical Communication Cost in Distributed Quantum Information
  Processing - A generalization of Quantum Communication Complexity","Revised Version. Accepted on March 31 for publication in Physical
  Review A. Proof of Theorem 3 clarified. A Proviso added to the statement of
  Conjecture 4. Related results on randomization and private quantum channel
  noted",,"10.1103/PhysRevA.62.012313",,"quant-ph",,"  We study the amount of classical communication needed for distributed quantum
information processing. In particular, we introduce the concept of ""remote
preparation"" of a quantum state. Given an ensemble of states, Alice's task is
to help Bob in a distant laboratory to prepare a state of her choice. We find
several examples of an ensemble with an entropy S where the remote preparation
can be done with a communication cost lower than the amount (2S) required by
standard teleportation. We conjecture that, for an arbitrary N-dimensional pure
state, its remote preparation requires 2log_2 N bits of classical
communication, as in standard teleportation.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 20:25:17 GMT""},{""version"":""v2"",""created"":""Fri, 14 Apr 2000 21:33:16 GMT""}]","2009-10-31"
"quant-ph/9912010","Ignacio Cirac","B. Kraus, J. I. Cirac, S. Karnas, and M. Lewenstein","Separability in 2xN composite quantum systems","Extended version of quant-ph/9903012 with new results. 11 pages","Phys.Rev.A 61, 062302 (2000)","10.1103/PhysRevA.61.062302",,"quant-ph",,"  We analyze the separability properties of density operators supported on
$\C^2\otimes \C^N$ whose partial transposes are positive operators. We show
that if the rank of $\rho$ equals N then it is separable, and that bound
entangled states have rank larger than N. We also give a separability criterion
for a generic density operator such that the sum of its rank and the one of its
partial transpose does not exceed 3N. If it exceeds this number we show that
one can subtract product vectors until decreasing it to 3N, while keeping the
positivity of $\rho$ and its partial transpose. This automatically gives us a
sufficient criterion for separability for general density operators. We also
prove that all density operators that remain invariant after partial
transposition with respect to the first system are separable.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:16:35 GMT""}]","2009-10-31"
"quant-ph/9912011","Hoi-Kwong Lo","Hoi-Kwong Lo (MagiQ Technologies Inc., New York, New York)","Will Quantum Cryptography ever become a successful technology in the
  marketplace?","6 pages, RevTex, two-column format","A substantially shortened and edited version appeared in Physics
  World, June 2000, p. 17",,,"quant-ph",,"  We assess the potential of quantum cryptography as a technology. We highlight
the fact that academia and real world have rather different perspectives and
interests. Then, we describe the various real life forces (different types of
users, vendors of crypto-systems, conventional cryptographers, governments)
behind the decision of the adoption (or rejection) of quantum cryptography and
their different interests. Various roadblocks to the widespread application of
quantum cryptography are discussed. Those roadblocks can be fundamental,
technological, psychological, commercial or political and many of them have
nothing to do with the security of quantum key distribution. We argue that the
future success of quantum cryptography as a technology in the marketplace lies
in our ability to appreciate and to overcome those roadblocks and to answer
real world criticisms on the subject.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 21:18:29 GMT""}]","2007-05-23"
"quant-ph/9912012","Andr\'es Sicard","Andr\'es Sicard and Mario V\'elez","Some relations between quantum Turing machines and Turing machines","LaTeX, 6 pages. In previous version, we have some problems with
  bibliographic references",,,,"quant-ph",,"  For quantum Turing machines we present three elements: Its components, its
time evolution operator and its local transition function. The components are
related with the components of deterministic Turing machines, the time
evolution operator is related with the evolution of reversible Turing machines
and the local transition function is related with the transition function of
probabilistic and reversible Turing machines.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 00:13:07 GMT""},{""version"":""v2"",""created"":""Mon, 6 Dec 1999 15:16:46 GMT""}]","2007-05-23"
"quant-ph/9912013","Huo Wujun","LIU Yufeng, HUO Wujun and ZENG Jinyan (Department of Physics, Peking
  University, Beijing, P. R. China "")","Angular momentum and energy structure of the coherent state of a 2D
  isotropic harmonic oscillator","no figure. to appear in Comm. in Theor. Phys","Commum. Theor. Phys. 33, 487 (2000)",,,"quant-ph",,"  The angular momentum structure and energy structure of the coherent state of
a 2D isotropic harmonic oscillator were investigated. Calculations showed that
the average values of angular momentum and energy (except the zero point
energy) of this nonspreading 2D wave packet are identical to those of the
corresponding classical oscillator moving along a circular or an elliptic
orbit.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 02:48:33 GMT""}]","2007-05-23"
"quant-ph/9912014","Alexander Kozhekin","A. E. Kozhekin, K. Molmer and E. Polzik (University of Aarhus)","Quantum Memory for Light","submittted to PRL",,"10.1103/PhysRevA.62.033809",,"quant-ph",,"  We propose an efficient method for mapping and storage of a quantum state of
propagating light in atoms. The quantum state of the light pulse is stored in
two sublevels of the ground state of a macroscopic atomic ensemble by
activating a synchronized Raman coupling between the light and atoms. We
discuss applications of the proposal in quantum information processing and in
atomic clocks operating beyond quantum limits of accuracy. The possibility of
transferring the atomic state back on light via teleportation is also
discussed.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 09:47:37 GMT""}]","2009-10-31"
"quant-ph/9912015","Michele Pavon","Michele Pavon","Derivation of the wave function collapse in the context of Nelson's
  stochastic mechanics","24 pages","J. Math. Physics 40 (1999), 5565-5577","10.1063/1.533046",,"quant-ph",,"  The von Neumann collapse of the quantum mechanical wavefunction after a
position measurement is derived by a purely probabilistic mechanism in the
context of Nelson's stochastic mechanics.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 10:00:19 GMT""}]","2015-06-26"
"quant-ph/9912016","Oleg Dorofeyev","B.A. Lysov, O.A. Lysova, O.F. Dorofeyev","Quantum-defect Electron States Near a Helium Surface","4 pages, LaTex",,,,"quant-ph",,"  Isolated electrons resting near a helium surface have a spectrum close to
that of a quantum-defect atom. A precisely solvable model with Rydberg spectrum
is sugguested and discussed.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 13:44:02 GMT""}]","2007-05-23"
"quant-ph/9912017","L. M. Duan","Lu-Ming Duan, G. Giedke, J. I. Cirac, and P. Zoller","Entanglement purification of Gaussian continuous variable quantum states","4 pages,1 figure, final version","Phys. Rev. Lett. 84, 4002 (2000)","10.1103/PhysRevLett.84.4002",,"quant-ph",,"  We describe an entanglement purification protocol to generate maximally
entangled states with high efficiencies from two-mode squeezed states or from
mixed Gaussian continuous entangled states. The protocol relies on a local
quantum non-demolition measurement of the total excitation number of several
continuous variable entangled pairs. We propose an optical scheme to do this
kind of measurement using cavity enhanced cross--Kerr interactions.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 14:52:02 GMT""},{""version"":""v2"",""created"":""Tue, 26 Sep 2000 09:08:19 GMT""}]","2009-10-31"
"quant-ph/9912018","John Hamilton","John Hamilton","An obstruction based approach to the Kochen-Specker theorem","14 pages, 6 figures","J. Phys A: Math. Gen 33 (2000) p3783-3794","10.1088/0305-4470/33/20/305","Imperial/TP/99-0/11","quant-ph",,"  In [1] it was shown that the Kochen Specker theorem can be written in terms
of the non-existence of global elements of a certain varying set over the
partially ordered set of boolean subalgebras of projection operators on some
Hilbert space. In this paper, we show how obstructions to the construction of
such global elements arise, and how this provides a new way of looking at
proofs of the theorem.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 14:59:52 GMT""}]","2009-10-31"
"solv-int/9912004","Wen-Xiu Ma","Wen-Xiu Ma","Integrable Couplings of Soliton Equations by Perturbations I. A General
  Theory and Application to the KdV Hierarchy","41 pages, latex, to appear in Methods and Applications of Analysis",,,,"solv-int nlin.SI",,"  A theory for constructing integrable couplings of soliton equations is
developed by using various perturbations around solutions of perturbed soliton
equations being analytic with respect to a small perturbation parameter.
Multi-scale perturbations can be taken and thus higher dimensional integrable
couplings can be presented. The theory is applied to the KdV soliton hierarchy.
Infinitely many integrable couplings are constructed for each soliton equation
in the KdV hierarchy, which contain integrable couplings possessing quadruple
Hamiltonian formulations and two classes of hereditary recursion operators, and
integrable couplings possessing local 2+1 dimensional bi-Hamiltonian
formulations and consequent 2+1 dimensional hereditary recursion operators.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 09:01:54 GMT""}]","2007-05-23"
